Aehr Test Systems Quarterly Net Income (Millions of US $),Aehr Test Systems Quarterly Net Income (Millions of US $).1
2024-11-30,$-1
2024-08-31,$1
2024-05-31,$24
2024-02-29,$-1
2023-11-30,$6
2023-08-31,$5
2023-05-31,$6
2023-02-28,$4
2022-11-30,$4
2022-08-31,$1
2022-05-31,$6
2022-02-28,$2
2021-11-30,$1
2021-08-31,$1
2021-05-31,$1
2021-02-28,$-1
2020-11-30,$-2
2020-08-31,$0
2020-05-31,$-3
2020-02-29,$0
2019-11-30,$0
2019-08-31,$-0
2019-05-31,$0
2019-02-28,$-3
2018-11-30,$-1
2018-08-31,$-2
2018-05-31,$0
2018-02-28,$0
2017-11-30,$0
2017-08-31,$0
2017-05-31,$-1
2017-02-28,$-3
2016-11-30,$-1
2016-08-31,$-1
2016-05-31,$-3
2016-02-29,$-3
2015-11-30,$-1
2015-08-31,$0
2015-05-31,$-2
2015-02-28,$-2
2014-11-30,$-2
2014-08-31,$-1
2014-05-31,$0
2014-02-28,$0
2013-11-30,$0
2013-08-31,$-0
2013-05-31,$-1
2013-02-28,$-1
2012-11-30,$-1
2012-08-31,$-0
2012-05-31,$-1
2012-02-29,$-1
2011-11-30,$-1
2011-08-31,$0
2011-05-31,$-0
2011-02-28,$-1
2010-11-30,$-1
2010-08-31,$-2
2010-05-31,$-1
2010-02-28,$2
2009-11-30,$-2
2009-08-31,$1
2009-05-31,$-4
2009-02-28,$-28
