ChargePoint Holdings Quarterly Net Income (Millions of US $),ChargePoint Holdings Quarterly Net Income (Millions of US $).1
2024-10-31,$-78
2024-07-31,$-69
2024-04-30,$-72
2024-01-31,$-95
2023-10-31,$-158
2023-07-31,$-125
2023-04-30,$-79
2023-01-31,$-79
2022-10-31,$-84
2022-07-31,$-93
2022-04-30,$-89
2022-01-31,$-60
2021-10-31,$-69
2021-07-31,$-85
2021-04-30,$-84
2021-01-31,$-274
2020-12-31,
2020-10-31,$-47
2020-09-30,$-1
2020-07-31,$-94
2020-06-30,$-0
2020-04-30,$-30
2020-03-31,$0
2019-12-31,
2019-09-30,$0
2019-06-30,$-0
