Chimerix Quarterly Net Income (Millions of US $),Chimerix Quarterly Net Income (Millions of US $).1
2024-09-30,$-23
2024-06-30,$-21
2024-03-31,$-22
2023-12-31,$-18
2023-09-30,$-24
2023-06-30,$-19
2023-03-31,$-21
2022-12-31,$-21
2022-09-30,$241
2022-06-30,$-23
2022-03-31,$-25
2021-12-31,$-39
2021-09-30,$-19
2021-06-30,$-18
2021-03-31,$-97
2020-12-31,$-12
2020-09-30,$-11
2020-06-30,$-10
2020-03-31,$-10
2019-12-31,$-4
2019-09-30,$-74
2019-06-30,$-18
2019-03-31,$-18
2018-12-31,$-15
2018-09-30,$-16
2018-06-30,$-19
2018-03-31,$-20
2017-12-31,$-19
2017-09-30,$-17
2017-06-30,$-17
2017-03-31,$-18
2016-12-31,$-15
2016-09-30,$-17
2016-06-30,$-18
2016-03-31,$-26
2015-12-31,$-38
2015-09-30,$-32
2015-06-30,$-25
2015-03-31,$-22
2014-12-31,$-20
2014-09-30,$-17
2014-06-30,$-12
2014-03-31,$-10
2013-12-31,$-8
2013-09-30,$-7
2013-06-30,$-21
2013-03-31,$-35
2012-12-31,$-4
2012-09-30,$6
2012-06-30,$-5
2012-03-31,$-8
2011-12-31,
2010-12-31,
