MBIA Quarterly Net Income (Millions of US $),MBIA Quarterly Net Income (Millions of US $).1
2024-12-31,$-51
2024-09-30,$-56
2024-06-30,$-254
2024-03-31,$-86
2023-12-31,$-138
2023-09-30,$-185
2023-06-30,$-74
2023-03-31,$-93
2022-12-31,$-52
2022-09-30,$-34
2022-06-30,$-36
2022-03-31,$-73
2021-12-31,$-155
2021-09-30,$-123
2021-06-30,$-61
2021-03-31,$-106
2020-12-31,$-81
2020-09-30,$-58
2020-06-30,$-106
2020-03-31,$-333
2019-12-31,$-214
2019-09-30,$83
2019-06-30,$-207
2019-03-31,$-21
2018-12-31,$-7
2018-09-30,$-45
2018-06-30,$-146
2018-03-31,$-98
2017-12-31,$-37
2017-09-30,$-267
2017-06-30,"$-1,229"
2017-03-31,$-72
2016-12-31,$-264
2016-09-30,$31
2016-06-30,$-27
2016-03-31,$-78
2015-12-31,$86
2015-09-30,$-35
2015-06-30,$62
2015-03-31,$67
2014-12-31,$29
2014-09-30,$173
2014-06-30,$116
2014-03-31,$251
2013-12-31,$140
2013-09-30,$129
2013-06-30,$-178
2013-03-31,$159
2012-12-31,$604
2012-09-30,$7
2012-06-30,$581
2012-03-31,$10
2011-12-31,$-626
2011-09-30,$444
2011-06-30,$137
2011-03-31,"$-1,274"
2010-12-31,$451
2010-09-30,$-213
2010-06-30,"$1,295"
2010-03-31,"$-1,480"
2009-12-31,$-241
2009-09-30,$-728
2009-06-30,$895
2009-03-31,$697
