Omeros Quarterly Net Income (Millions of US $),Omeros Quarterly Net Income (Millions of US $).1
2024-09-30,$-32
2024-06-30,$-56
2024-03-31,$-37
2023-12-31,$-9
2023-09-30,$-38
2023-06-30,$-37
2023-03-31,$-34
2022-12-31,$129
2022-09-30,$-17
2022-06-30,$-31
2022-03-31,$-33
2021-12-31,$281
2021-09-30,$-23
2021-06-30,$-29
2021-03-31,$-35
2020-12-31,$-37
2020-09-30,$-38
2020-06-30,$-33
2020-03-31,$-29
2019-12-31,$-29
2019-09-30,$-16
2019-06-30,$-14
2019-03-31,$-24
2018-12-31,$-24
2018-09-30,$-39
2018-06-30,$-34
2018-03-31,$-30
2017-12-31,$-17
2017-09-30,$-7
2017-06-30,$-14
2017-03-31,$-15
2016-12-31,$-20
2016-09-30,$-14
2016-06-30,$-13
2016-03-31,$-21
2015-12-31,$-20
2015-09-30,$-20
2015-06-30,$-17
2015-03-31,$-19
2014-12-31,$-21
2014-09-30,$-18
2014-06-30,$-18
2014-03-31,$-17
2013-12-31,$-2
2013-09-30,$-14
2013-06-30,$-14
2013-03-31,$-10
2012-12-31,$-8
2012-09-30,$-13
2012-06-30,$-9
2012-03-31,$-9
2011-12-31,$-10
2011-09-30,$-7
2011-06-30,$-5
2011-03-31,$-7
2010-12-31,$-7
2010-09-30,$-8
2010-06-30,$-8
2010-03-31,$-7
2009-12-31,$-6
2009-09-30,$-4
2009-06-30,$-6
2009-03-31,$-5
