REGENXBIO Quarterly Net Income (Millions of US $),REGENXBIO Quarterly Net Income (Millions of US $).1
2024-12-31,$-51
2024-09-30,$-60
2024-06-30,$-53
2024-03-31,$-63
2023-12-31,$-63
2023-09-30,$-62
2023-06-30,$-72
2023-03-31,$-67
2022-12-31,$-60
2022-09-30,$-75
2022-06-30,$-68
2022-03-31,$-77
2021-12-31,$294
2021-09-30,$-58
2021-06-30,$-58
2021-03-31,$-50
2020-12-31,$-46
2020-09-30,$9
2020-06-30,$-34
2020-03-31,$-40
2019-12-31,$-26
2019-09-30,$-35
2019-06-30,$-1
2019-03-31,$-32
2018-12-31,$4
2018-09-30,$-19
2018-06-30,$11
2018-03-31,$104
2017-12-31,$-16
2017-09-30,$-21
2017-06-30,$-14
2017-03-31,$-22
2016-12-31,$-20
2016-09-30,$-18
2016-06-30,$-14
2016-03-31,$-11
2015-12-31,$-5
2015-09-30,$-7
2015-06-30,$-9
2015-03-31,$-2
2014-12-31,
2014-09-30,$-2
2013-12-31,
