SoFi Technologies Quarterly Net Income (Millions of US $),SoFi Technologies Quarterly Net Income (Millions of US $).1
2024-12-31,$313
2024-09-30,$61
2024-06-30,$17
2024-03-31,$88
2023-12-31,$18
2023-09-30,$-277
2023-06-30,$-48
2023-03-31,$-34
2022-12-31,$-50
2022-09-30,$-84
2022-06-30,$-106
2022-03-31,$-120
2021-12-31,$-121
2021-09-30,$-40
2021-06-30,$-175
2021-03-31,$-188
2020-12-31,
2020-09-30,$-53
2020-06-30,$-2
2019-12-31,
2011-06-30,
2011-03-31,
2010-12-31,
2010-09-30,
2010-06-30,
2010-03-31,
2009-12-31,
2009-09-30,
2009-06-30,
2009-03-31,
