Target Hospitality Quarterly Net Income (Millions of US $),Target Hospitality Quarterly Net Income (Millions of US $).1
2024-09-30,$20
2024-06-30,$18
2024-03-31,$20
2023-12-31,$38
2023-09-30,$46
2023-06-30,$46
2023-03-31,$44
2022-12-31,$32
2022-09-30,$19
2022-06-30,$23
2022-03-31,$0
2021-12-31,$3
2021-09-30,$7
2021-06-30,$-1
2021-03-31,$-13
2020-12-31,$-9
2020-09-30,$-8
2020-06-30,$-14
2020-03-31,$5
2019-12-31,$6
2019-09-30,$10
2019-06-30,$11
2019-03-31,$-14
2018-12-31,$4
2018-09-30,$1
2018-06-30,$4
2018-03-31,$-4
2017-12-31,
