Vince Holding Quarterly Net Income (Millions of US $),Vince Holding Quarterly Net Income (Millions of US $).1
2024-10-31,$4
2024-07-31,$1
2024-04-30,$4
2024-01-31,$-5
2023-10-31,$1
2023-07-31,$30
2023-04-30,$-0
2023-01-31,$-11
2022-10-31,$-5
2022-07-31,$-15
2022-04-30,$-7
2022-01-31,$-3
2021-10-31,$2
2021-07-31,$-1
2021-04-30,$-12
2021-01-31,$-7
2020-10-31,$5
2020-07-31,$-15
2020-04-30,$-48
2020-01-31,$52
2019-10-31,$6
2019-07-31,$-20
2019-04-30,$-8
2019-01-31,$1
2018-10-31,$7
2018-07-31,$-4
2018-04-30,$-6
2018-01-31,$75
2017-10-31,$4
2017-07-31,$-10
2017-04-30,$-9
2017-01-31,$-162
2016-10-31,$3
2016-07-31,$-2
2016-04-30,$-2
2016-01-31,$2
2015-10-31,$6
2015-07-31,$-5
2015-04-30,$2
2015-01-31,$11
2014-10-31,$13
2014-07-31,$11
2014-04-30,$1
2014-01-31,$1
2013-10-31,$-2
2013-07-31,$-11
2013-04-30,$-15
2013-01-31,
2012-10-31,$-15
2012-07-31,
2012-01-31,
2011-01-31,
