W&T Offshore Quarterly Net Income (Millions of US $),W&T Offshore Quarterly Net Income (Millions of US $).1
2024-12-31,$-23
2024-09-30,$-37
2024-06-30,$-15
2024-03-31,$-11
2023-12-31,$-0
2023-09-30,$2
2023-06-30,$-12
2023-03-31,$26
2022-12-31,$43
2022-09-30,$67
2022-06-30,$123
2022-03-31,$-2
2021-12-31,$49
2021-09-30,$-38
2021-06-30,$-52
2021-03-31,$-1
2020-12-31,$-8
2020-09-30,$-13
2020-06-30,$-6
2020-03-31,$65
2019-12-31,$12
2019-09-30,$75
2019-06-30,$36
2019-03-31,$-48
2018-12-31,$134
2018-09-30,$44
2018-06-30,$35
2018-03-31,$26
2017-12-31,$21
2017-09-30,$-1
2017-06-30,$32
2017-03-31,$24
2016-12-31,$16
2016-09-30,$46
2016-06-30,$-121
2016-03-31,$-191
2015-12-31,$-52
2015-09-30,$-478
2015-06-30,$-260
2015-03-31,$-255
2014-12-31,$-33
2014-09-30,$1
2014-06-30,$10
2014-03-31,$11
2013-12-31,$-12
2013-09-30,$14
2013-06-30,$22
2013-03-31,$27
2012-12-31,$17
2012-09-30,$-2
2012-06-30,$52
2012-03-31,$3
2011-12-31,$44
2011-09-30,$52
2011-06-30,$55
2011-03-31,$18
2010-12-31,$20
2010-09-30,$27
2010-06-30,$28
2010-03-31,$42
2009-12-31,$64
2009-09-30,$-1
2009-06-30,$-6
2009-03-31,$-245
