Alset PE Ratio Historical Data,Alset PE Ratio Historical Data,Alset PE Ratio Historical Data,Alset PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.88,,0.0
2024-09-30,1.29,$-4.33,0.0
2024-06-30,1.66,$-6.25,0.0
2024-03-31,0.7,$-6.75,0.0
2023-12-31,1.03,$-6.48,0.0
2023-09-30,1.32,$-2.82,0.0
2023-06-30,1.55,$-1.17,0.0
2023-03-31,1.59,$-1.94,0.0
2022-12-31,2.3,$-2.88,0.0
2022-09-30,0.26,$-2.88,0.0
2022-06-30,0.29,$-6.60,0.0
2022-03-31,0.46,$-125.80,0.0
2021-12-31,0.56,$-139.00,0.0
2021-09-30,2.35,$-139.00,0.0
