Aldeyra Therapeutics PE Ratio Historical Data,Aldeyra Therapeutics PE Ratio Historical Data,Aldeyra Therapeutics PE Ratio Historical Data,Aldeyra Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.72,,0.0
2024-12-31,4.99,$-0.66,0.0
2024-09-30,5.39,$-0.47,0.0
2024-06-30,3.31,$-0.36,0.0
2024-03-31,3.27,$-0.51,0.0
2023-12-31,3.51,$-0.64,0.0
2023-09-30,6.68,$-0.78,0.0
2023-06-30,8.39,$-0.89,0.0
2023-03-31,9.93,$-1.04,0.0
2022-12-31,6.96,$-1.06,0.0
2022-09-30,5.34,$-1.11,0.0
2022-06-30,3.99,$-1.13,0.0
2022-03-31,4.45,$-1.11,0.0
2021-12-31,4.0,$-1.07,0.0
2021-09-30,8.78,$-1.15,0.0
2021-06-30,11.33,$-1.11,0.0
2021-03-31,11.88,$-1.08,0.0
2020-12-31,6.86,$-1.17,0.0
2020-09-30,7.41,$-1.29,0.0
2020-06-30,4.17,$-1.75,0.0
2020-03-31,2.47,$-1.99,0.0
2019-12-31,5.81,$-2.23,0.0
2019-09-30,5.27,$-2.15,0.0
2019-06-30,6.0,$-1.98,0.0
2019-03-31,9.03,$-1.95,0.0
2018-12-31,8.3,$-1.80,0.0
2018-09-30,13.8,$-1.78,0.0
2018-06-30,7.95,$-1.58,0.0
2018-03-31,7.5,$-1.47,0.0
2017-12-31,6.8,$-1.41,0.0
2017-09-30,7.2,$-1.40,0.0
2017-06-30,4.65,$-1.46,0.0
2017-03-31,5.0,$-1.52,0.0
2016-12-31,5.35,$-1.66,0.0
2016-09-30,7.82,$-1.77,0.0
2016-06-30,5.69,$-1.74,0.0
2016-03-31,4.19,$-1.60,0.0
2015-12-31,6.78,$-1.41,0.0
2015-09-30,5.83,$-1.25,0.0
2015-06-30,7.76,$-1.26,0.0
2015-03-31,10.18,$-2.55,0.0
