AMC Networks PE Ratio Historical Data,AMC Networks PE Ratio Historical Data,AMC Networks PE Ratio Historical Data,AMC Networks PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.31,,0.0
2024-12-31,9.9,$-5.25,0.0
2024-09-30,8.69,$0.63,13.79
2024-06-30,9.66,$1.31,7.37
2024-03-31,12.13,$3.57,3.4
2023-12-31,18.79,$4.90,3.83
2023-09-30,11.78,$-0.71,0.0
2023-06-30,11.95,$-0.21,0.0
2023-03-31,17.58,$0.10,175.8
2022-12-31,15.67,$0.12,130.58
2022-09-30,20.3,$6.62,3.07
2022-06-30,29.12,$7.23,4.03
2022-03-31,40.63,$6.15,6.61
2021-12-31,34.44,$5.79,5.95
2021-09-30,46.59,$7.49,6.22
2021-06-30,66.8,$6.11,10.93
2021-03-31,53.16,$5.56,9.56
2020-12-31,35.77,$4.76,7.51
2020-09-30,24.71,$2.52,9.81
2020-06-30,23.39,$3.42,6.84
2020-03-31,24.31,$5.39,4.51
2019-12-31,39.5,$6.65,5.94
2019-09-30,49.16,$8.04,6.11
2019-06-30,54.49,$7.90,6.9
2019-03-31,56.76,$7.47,7.6
2018-12-31,54.88,$7.53,7.29
2018-09-30,66.34,$8.62,7.7
2018-06-30,62.2,$8.04,7.74
2018-03-31,51.7,$7.76,6.66
2017-12-31,54.08,$7.20,7.51
2017-09-30,58.47,$5.07,11.53
2017-06-30,53.41,$4.63,11.54
2017-03-31,58.68,$4.14,14.17
2016-12-31,52.34,$3.71,14.11
2016-09-30,51.86,$4.74,10.94
2016-06-30,60.42,$4.82,12.54
2016-03-31,64.94,$4.91,13.23
2015-12-31,74.68,$5.02,14.88
2015-09-30,73.17,$4.85,15.09
2015-06-30,81.85,$4.59,17.83
2015-03-31,76.64,$4.26,17.99
2014-12-31,63.77,$3.58,17.81
2014-09-30,58.42,$3.01,19.41
2014-06-30,61.49,$3.08,19.96
2014-03-31,73.08,$4.14,17.65
2013-12-31,68.11,$4.01,16.99
2013-09-30,68.5,$3.73,18.36
2013-06-30,65.33,$3.44,18.99
2013-03-31,63.22,$2.15,29.4
2012-12-31,49.5,$1.90,26.05
2012-09-30,43.52,$2.10,20.72
2012-06-30,35.55,$2.14,16.61
2012-03-31,44.63,$1.95,22.89
