Amplify Energy PE Ratio Historical Data,Amplify Energy PE Ratio Historical Data,Amplify Energy PE Ratio Historical Data,Amplify Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.92,,14.0
2024-12-31,6.0,$0.28,21.43
2024-09-30,6.53,$1.54,4.24
2024-06-30,6.78,$0.66,10.27
2024-03-31,6.61,$0.73,9.05
2023-12-31,5.93,$9.66,0.61
2023-09-30,7.35,$9.33,0.79
2023-06-30,6.77,$10.84,0.62
2023-03-31,6.87,$11.33,0.61
2022-12-31,8.79,$1.37,6.42
2022-09-30,6.57,$1.57,4.18
2022-06-30,6.54,$0.05,130.8
2022-03-31,5.5,$-1.60,0.0
2021-12-31,3.11,$-0.84,0.0
2021-09-30,5.32,$-2.78,0.0
2021-06-30,4.05,$-2.90,0.0
2021-03-31,2.78,$-3.08,0.0
2020-12-31,1.31,$-12.34,0.0
2020-09-30,0.85,$-12.05,0.0
2020-06-30,1.23,$-11.43,0.0
2020-03-31,0.57,$-10.33,0.0
2019-12-31,5.91,$-1.34,0.0
2019-09-30,5.31,$0.75,7.08
2019-06-30,4.89,$1.04,4.71
2019-03-31,8.12,$0.98,8.28
2018-12-31,6.24,$1.91,3.27
2018-09-30,7.4,$-4.25,0.0
2018-06-30,11.31,$-4.55,0.0
2018-03-31,11.08,$-3.96,0.0
2017-12-31,13.78,$-3.39,0.0
2017-09-30,12.91,$1.39,9.29
