Aptose Biosciences PE Ratio Historical Data,Aptose Biosciences PE Ratio Historical Data,Aptose Biosciences PE Ratio Historical Data,Aptose Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.93,,0.0
2024-09-30,0.41,$-89.19,0.0
2024-06-30,0.76,$-130.93,0.0
2024-03-31,1.66,$-186.19,0.0
2023-12-31,2.54,$-231.80,0.0
2023-09-30,2.8,$-238.08,0.0
2023-06-30,4.64,$-234.75,0.0
2023-03-31,9.6,$-216.11,0.0
2022-12-31,8.7,$-202.60,0.0
2022-09-30,8.93,$-274.64,0.0
2022-06-30,11.13,$-283.64,0.0
2022-03-31,20.4,$-301.65,0.0
2021-12-31,20.25,$-328.67,0.0
2021-09-30,32.7,$-283.64,0.0
2021-06-30,49.8,$-292.65,0.0
2021-03-31,89.63,$-319.66,0.0
2020-12-31,65.7,$-306.15,0.0
2020-09-30,90.0,$-288.14,0.0
2020-06-30,94.65,$-274.64,0.0
2020-03-31,89.1,$-238.62,0.0
2019-12-31,85.05,$-234.12,0.0
2019-09-30,31.28,$-252.13,0.0
2019-06-30,39.15,$-270.14,0.0
2019-03-31,30.15,$-346.67,0.0
2018-12-31,28.65,$-387.19,0.0
2018-09-30,39.0,$-364.68,0.0
2018-06-30,59.1,$-342.17,0.0
2018-03-31,47.4,$-256.63,0.0
2017-12-31,33.6,$-238.62,0.0
2017-09-30,22.2,$-270.14,0.0
2017-06-30,18.45,$-328.67,0.0
2017-03-31,15.3,$-441.22,0.0
2016-12-31,20.85,$-495.25,0.0
2016-09-30,33.75,$-540.27,0.0
2016-06-30,36.75,$-526.76,0.0
2016-03-31,45.0,$-463.73,0.0
2015-12-31,37.95,$-436.72,0.0
2015-09-30,64.65,$-418.71,0.0
