Arch Resources PE Ratio Historical Data,Arch Resources PE Ratio Historical Data,Arch Resources PE Ratio Historical Data,Arch Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,137.73,,14.47
2024-09-30,137.95,$9.52,14.49
2024-06-30,151.72,$13.77,11.02
2024-03-31,160.25,$17.00,9.43
2023-12-31,163.72,$24.04,6.81
2023-09-30,168.37,$41.15,4.09
2023-06-30,107.91,$45.92,2.35
2023-03-31,123.02,$61.18,2.01
2022-12-31,130.95,$64.05,2.04
2022-09-30,101.37,$52.79,1.92
2022-06-30,117.52,$49.03,2.4
2022-03-31,107.64,$31.39,3.43
2021-12-31,71.4,$18.10,3.94
2021-09-30,72.29,$1.01,71.57
2021-06-30,44.41,$-16.55,0.0
2021-03-31,32.42,$-21.47,0.0
2020-12-31,34.11,$-22.74,0.0
2020-09-30,33.11,$-18.14,0.0
2020-06-30,22.14,$0.84,26.36
2020-03-31,22.52,$7.63,2.95
2019-12-31,55.32,$13.21,4.19
2019-09-30,56.88,$18.22,3.12
2019-06-30,71.79,$17.98,3.99
2019-03-31,69.2,$16.51,4.19
2018-12-31,62.61,$15.34,4.08
2018-09-30,67.44,$14.54,4.64
2018-06-30,58.9,$11.27,5.23
2018-03-31,68.67,$10.69,6.42
2017-12-31,69.35,$7.95,8.72
2017-09-30,53.17,$4.31,12.34
