ATyr Pharma PE Ratio Historical Data,ATyr Pharma PE Ratio Historical Data,ATyr Pharma PE Ratio Historical Data,ATyr Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.76,,0.0
2024-12-31,3.62,$-0.69,0.0
2024-09-30,1.76,$-0.94,0.0
2024-06-30,1.56,$-0.91,0.0
2024-03-31,1.95,$-0.90,0.0
2023-12-31,1.41,$-0.96,0.0
2023-09-30,1.58,$-0.97,0.0
2023-06-30,2.16,$-1.23,0.0
2023-03-31,2.1,$-1.45,0.0
2022-12-31,2.19,$-1.60,0.0
2022-09-30,3.0,$-1.65,0.0
2022-06-30,2.83,$-1.61,0.0
2022-03-31,5.35,$-1.81,0.0
2021-12-31,7.47,$-1.88,0.0
2021-09-30,9.08,$-2.04,0.0
2021-06-30,4.88,$-2.30,0.0
2021-03-31,4.45,$-2.35,0.0
2020-12-31,3.88,$-1.59,0.0
2020-09-30,3.23,$-2.66,0.0
2020-06-30,4.44,$-3.45,0.0
2020-03-31,2.8,$-4.56,0.0
2019-12-31,4.17,$-7.33,0.0
2019-09-30,3.5,$-8.73,0.0
2019-06-30,5.13,$-10.62,0.0
2019-03-31,7.7,$-13.73,0.0
2018-12-31,6.94,$-16.25,0.0
2018-09-30,11.38,$-18.77,0.0
2018-06-30,12.74,$-21.43,0.0
2018-03-31,37.1,$-23.67,0.0
2017-12-31,49.0,$-26.47,0.0
2017-09-30,70.7,$-28.43,0.0
2017-06-30,47.6,$-30.53,0.0
2017-03-31,49.0,$-32.49,0.0
2016-12-31,30.1,$-34.17,0.0
2016-09-30,44.52,$-36.55,0.0
2016-06-30,38.92,$-35.15,0.0
2016-03-31,55.16,$-36.41,0.0
