BCE PE Ratio Historical Data,BCE PE Ratio Historical Data,BCE PE Ratio Historical Data,BCE PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.02,,191.83
2024-12-31,23.18,$0.12,193.17
2024-09-30,33.4,$0.07,477.19
2024-06-30,30.42,$1.59,19.13
2024-03-31,31.25,$1.44,21.7
2023-12-31,35.44,$1.69,20.97
2023-09-30,33.75,$1.81,18.64
2023-06-30,39.61,$1.89,20.96
2023-03-31,38.31,$2.13,17.98
2022-12-31,36.98,$2.31,16.01
2022-09-30,34.77,$2.43,14.31
2022-06-30,40.17,$2.49,16.13
2022-03-31,44.65,$2.59,17.24
2021-12-31,41.34,$2.39,17.3
2021-09-30,39.24,$2.59,15.15
2021-06-30,38.14,$2.50,15.26
2021-03-31,34.42,$2.07,16.63
2020-12-31,32.13,$2.06,15.6
2020-09-30,30.68,$1.87,16.41
2020-06-30,30.45,$2.03,15.0
2020-03-31,29.36,$2.48,11.84
2019-12-31,32.82,$2.55,12.87
2019-09-30,33.85,$2.50,13.54
2019-06-30,31.41,$2.46,12.77
2019-03-31,30.26,$2.43,12.45
2018-12-31,26.59,$2.39,11.12
2018-09-30,26.89,$2.38,11.3
2018-06-30,26.48,$2.38,11.13
2018-03-31,27.77,$2.39,11.62
2017-12-31,30.56,$2.40,12.74
2017-09-30,29.47,$2.46,11.98
2017-06-30,28.0,$2.44,11.47
2017-03-31,27.19,$2.48,10.96
2016-12-31,26.23,$2.49,10.53
2016-09-30,27.69,$2.36,11.73
2016-06-30,28.05,$2.36,11.88
2016-03-31,26.69,$2.43,10.98
2015-12-31,22.37,$2.35,9.52
2015-09-30,23.44,$2.43,9.65
2015-06-30,24.03,$2.43,9.89
2015-03-31,23.66,$2.41,9.82
2014-12-31,25.31,$2.61,9.7
2014-09-30,23.32,$2.68,8.7
2014-06-30,24.43,$2.43,10.05
2014-03-31,22.95,$2.43,9.44
2013-12-31,22.73,$2.44,9.32
2013-09-30,22.14,$2.77,7.99
2013-06-30,20.99,$3.09,6.79
2013-03-31,23.57,$3.38,6.97
2012-12-31,21.41,$3.45,6.2
2012-09-30,21.62,$3.17,6.82
2012-06-30,20.01,$3.24,6.18
2012-03-31,19.2,$3.03,6.34
2011-12-31,19.72,$2.93,6.73
2011-09-30,17.5,$2.88,6.08
2011-06-30,18.11,$2.76,6.56
2011-03-31,16.52,$2.73,6.05
2010-12-31,15.9,$2.80,5.68
2010-09-30,14.38,$2.66,5.41
2010-06-30,12.77,$2.66,4.8
2010-03-31,12.63,$2.32,5.44
2009-12-31,11.72,$2.03,5.77
