Becton Dickinson PE Ratio Historical Data,Becton Dickinson PE Ratio Historical Data,Becton Dickinson PE Ratio Historical Data,Becton Dickinson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,231.85,,38.51
2024-12-31,226.87,$6.02,37.69
2024-09-30,239.98,$5.94,40.4
2024-06-30,231.7,$4.86,47.67
2024-03-31,244.35,$4.54,53.82
2023-12-31,239.82,$4.22,56.83
2023-09-30,253.24,$4.96,51.06
2023-06-30,257.73,$5.51,46.78
2023-03-31,240.78,$5.33,45.17
2022-12-31,246.39,$5.30,46.49
2022-09-30,215.11,$5.88,36.58
2022-06-30,237.19,$5.80,40.9
2022-03-31,248.74,$6.34,39.23
2021-12-31,234.4,$5.78,40.55
2021-09-30,228.31,$6.85,33.33
2021-06-30,225.16,$6.37,35.35
2021-03-31,224.34,$5.62,39.92
2020-12-31,230.08,$5.21,44.16
2020-09-30,213.21,$2.73,78.1
2020-06-30,218.51,$2.78,78.6
2020-03-31,209.17,$3.32,63.0
2019-12-31,246.74,$2.72,90.71
2019-09-30,228.79,$3.90,58.67
2019-06-30,227.27,$2.85,79.74
2019-03-31,224.48,$3.37,66.61
2018-12-31,201.91,$3.25,62.13
2018-09-30,233.12,$0.44,529.81
2018-06-30,213.34,$2.32,91.96
2018-03-31,192.36,$-0.46,0.0
2017-12-31,189.38,$1.31,144.56
2017-09-30,172.76,$4.65,37.15
2017-06-30,171.39,$3.50,48.97
2017-03-31,160.53,$6.05,26.53
2016-12-31,144.3,$6.03,23.93
2016-09-30,155.97,$4.51,34.58
2016-06-30,146.63,$5.26,27.88
2016-03-31,130.75,$3.75,34.87
2015-12-31,132.11,$3.27,40.4
2015-09-30,113.26,$3.41,33.21
2015-06-30,120.39,$4.10,29.36
2015-03-31,121.52,$5.46,22.26
2014-12-31,117.29,$5.83,20.12
2014-09-30,95.51,$6.00,15.92
2014-06-30,98.82,$4.93,20.04
2014-03-31,97.35,$4.80,20.28
2013-12-31,91.44,$4.74,19.29
2013-09-30,82.36,$6.50,12.67
2013-06-30,80.97,$7.47,10.84
2013-03-31,77.94,$7.54,10.34
2012-12-31,63.38,$7.54,8.41
2012-09-30,63.27,$5.62,11.26
2012-06-30,59.85,$5.55,10.78
2012-03-31,61.79,$5.49,11.26
2011-12-31,59.11,$5.48,10.79
2011-09-30,57.64,$5.63,10.24
2011-06-30,67.4,$5.95,11.33
2011-03-31,61.98,$5.71,10.85
2010-12-31,65.46,$5.57,11.75
2010-09-30,57.1,$5.51,10.36
2010-06-30,51.83,$5.12,10.12
2010-03-31,60.03,$5.22,11.5
2009-12-31,59.84,$5.04,11.87
