Bank Of Montreal PE Ratio Historical Data,Bank Of Montreal PE Ratio Historical Data,Bank Of Montreal PE Ratio Historical Data,Bank Of Montreal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,97.9,,12.73
2025-01-31,99.04,$7.69,12.88
2024-10-31,91.12,$6.98,13.05
2024-07-31,82.93,$6.35,13.06
2024-04-30,86.66,$6.02,14.4
2024-01-31,90.28,$5.24,17.23
2023-10-31,71.59,$4.18,17.13
2023-07-31,86.81,$7.55,11.5
2023-04-30,83.25,$7.59,10.97
2023-01-31,91.82,$12.26,7.49
2022-10-31,83.12,$15.53,5.35
2022-07-31,88.94,$13.21,6.73
2022-04-30,93.64,$14.47,6.47
2022-01-31,98.98,$10.36,9.55
2021-10-31,94.03,$9.22,10.2
2021-07-31,84.98,$8.43,10.08
2021-04-30,80.42,$6.97,11.54
2021-01-31,62.77,$6.18,10.16
2020-10-31,49.68,$5.63,8.82
2020-07-31,45.11,$5.20,8.68
2020-04-30,41.36,$5.64,7.33
2020-01-31,61.03,$6.60,9.25
2019-10-31,58.63,$6.53,8.98
2019-07-31,58.66,$7.15,8.2
2019-04-30,61.28,$7.18,8.53
2019-01-31,56.26,$6.96,8.08
2018-10-31,56.86,$6.36,8.94
2018-07-31,59.73,$5.84,10.23
2018-04-30,56.68,$5.60,10.12
2018-01-31,60.86,$5.52,11.03
2017-10-31,56.13,$6.05,9.28
2017-07-31,55.09,$6.14,8.97
2017-04-30,50.96,$6.02,8.46
2017-01-31,53.9,$5.73,9.41
2016-10-31,44.93,$5.22,8.61
2016-07-31,44.84,$5.07,8.84
2016-04-30,45.11,$5.09,8.86
2016-01-31,36.67,$5.18,7.08
2015-10-31,39.36,$5.19,7.58
2015-07-31,37.45,$5.17,7.24
2015-04-30,43.29,$5.24,8.26
2015-01-31,37.73,$5.52,6.83
2014-10-31,47.16,$5.78,8.16
2014-07-31,47.98,$5.93,8.09
2014-04-30,43.94,$6.01,7.31
2014-01-31,38.54,$5.91,6.52
2013-10-31,43.5,$5.98,7.27
2013-07-31,38.38,$6.06,6.33
2013-04-30,38.3,$5.90,6.49
2013-01-31,38.16,$6.02,6.34
2012-10-31,35.29,$6.16,5.73
2012-07-31,33.74,$5.88,5.74
2012-04-30,34.6,$5.73,6.04
2012-01-31,33.47,$5.61,5.97
2011-10-31,33.66,$5.31,6.34
2011-07-31,35.34,$5.22,6.77
2011-04-30,36.09,$5.00,7.22
2011-01-31,31.38,$4.81,6.52
2010-10-31,31.84,$4.54,7.01
2010-07-31,32.42,$4.33,7.49
2010-04-30,32.55,$4.12,7.9
2010-01-31,25.3,$3.48,7.27
2009-10-31,23.44,$2.81,8.34
