Bristol Myers Squibb PE Ratio Historical Data,Bristol Myers Squibb PE Ratio Historical Data,Bristol Myers Squibb PE Ratio Historical Data,Bristol Myers Squibb PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,60.42,,0.0
2024-12-31,56.56,$-4.42,0.0
2024-09-30,51.17,$-3.59,0.0
2024-06-30,40.46,$-3.26,0.0
2024-03-31,52.22,$-3.10,0.0
2023-12-31,48.85,$3.86,12.66
2023-09-30,54.7,$3.94,13.88
2023-06-30,59.21,$3.76,15.75
2023-03-31,63.66,$3.43,18.56
2022-12-31,65.57,$2.95,22.23
2022-09-30,64.29,$3.07,20.94
2022-06-30,69.63,$3.01,23.13
2022-03-31,65.58,$2.82,23.26
2021-12-31,55.1,$3.12,17.66
2021-09-30,52.29,$-2.40,0.0
2021-06-30,58.13,$-2.27,0.0
2021-03-31,54.92,$-2.78,0.0
2020-12-31,53.55,$-4.01,0.0
2020-09-30,51.25,$-0.11,0.0
2020-06-30,49.61,$-0.10,0.0
2020-03-31,46.65,$0.81,57.59
2019-12-31,53.34,$2.19,24.36
2019-09-30,41.79,$3.47,12.04
2019-06-30,37.05,$3.80,9.75
2019-03-31,38.64,$3.16,12.23
2018-12-31,41.72,$3.03,13.77
2018-09-30,49.51,$0.88,56.26
2018-06-30,43.82,$0.23,190.51
2018-03-31,49.76,$0.56,88.86
2017-12-31,47.9,$0.59,81.19
2017-09-30,49.52,$2.54,19.5
2017-06-30,42.99,$2.75,15.63
2017-03-31,41.65,$2.88,14.46
2016-12-31,44.47,$2.65,16.78
2016-09-30,40.75,$2.04,19.97
2016-06-30,55.58,$1.74,31.94
2016-03-31,48.02,$0.97,49.51
2015-12-31,51.41,$0.97,53.0
2015-09-30,44.0,$1.06,41.51
2015-06-30,48.88,$1.07,45.68
2015-03-31,47.11,$1.35,34.9
2014-12-31,43.11,$1.20,35.93
2014-09-30,36.89,$1.63,22.63
2014-06-30,34.7,$1.62,21.42
2014-03-31,36.91,$1.74,21.21
2013-12-31,37.76,$1.55,24.36
2013-09-30,32.41,$1.67,19.41
2013-06-30,31.05,$0.82,37.87
2013-03-31,28.38,$0.88,32.25
2012-12-31,22.22,$1.15,19.32
2012-09-30,22.78,$1.09,20.9
2012-06-30,24.03,$2.08,11.55
2012-03-31,22.33,$2.22,10.06
2011-12-31,23.09,$2.15,10.74
2011-09-30,20.35,$1.93,10.55
2011-06-30,18.78,$1.92,9.78
2011-03-31,16.95,$1.93,8.78
2010-12-31,16.56,$1.79,9.25
2010-09-30,16.95,$5.57,3.04
2010-06-30,15.42,$5.50,2.8
2010-03-31,16.3,$5.46,2.98
2009-12-31,15.23,$5.35,2.85
