Bassett Furniture Industries PE Ratio Historical Data,Bassett Furniture Industries PE Ratio Historical Data,Bassett Furniture Industries PE Ratio Historical Data,Bassett Furniture Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.15,,0.0
2024-11-30,15.23,$-1.10,0.0
2024-08-31,13.97,$-1.95,0.0
2024-05-31,14.58,$-1.73,0.0
2024-02-29,14.86,$-0.67,0.0
2023-11-30,15.66,$-0.37,0.0
2023-08-31,14.29,$0.65,21.99
2023-05-31,12.53,$1.77,7.08
2023-02-28,17.01,$6.47,2.63
2022-11-30,17.26,$6.88,2.51
2022-08-31,17.18,$6.85,2.51
2022-05-31,14.56,$6.34,2.3
2022-02-28,14.38,$2.00,7.19
2021-11-30,12.38,$1.83,6.77
2021-08-31,17.33,$1.96,8.84
2021-05-31,24.28,$1.87,12.98
2021-02-28,16.87,$-0.77,0.0
2020-11-30,12.29,$-1.05,0.0
2020-08-31,9.78,$-2.21,0.0
2020-05-31,4.86,$-2.22,0.0
2020-02-29,7.49,$-0.14,0.0
2019-11-30,11.43,$-0.20,0.0
2019-08-31,9.07,$0.49,18.52
2019-05-31,10.94,$0.56,19.54
2019-02-28,14.6,$0.92,15.87
2018-11-30,15.44,$0.77,20.06
2018-08-31,17.04,$1.05,16.23
2018-05-31,20.07,$1.20,16.73
2018-02-28,23.28,$1.34,17.38
2017-11-30,27.67,$1.70,16.28
2017-08-31,25.53,$1.71,14.93
2017-05-31,21.08,$1.66,12.7
2017-02-28,19.35,$1.43,13.53
2016-11-30,20.48,$1.46,14.03
2016-08-31,17.2,$1.51,11.39
2016-05-31,19.32,$1.52,12.71
2016-02-29,21.37,$1.63,13.11
2015-11-30,21.43,$1.89,11.34
2015-08-31,19.77,$1.72,11.49
2015-05-31,19.26,$1.54,12.51
2015-02-28,17.41,$1.36,12.8
2014-11-30,13.09,$0.88,14.88
2014-08-31,10.09,$0.68,14.83
2014-05-31,8.98,$0.52,17.27
2014-02-28,9.87,$0.46,21.45
2013-11-30,10.21,$0.47,21.72
2013-08-31,8.91,$1.87,4.76
2013-05-31,8.84,$2.03,4.35
2013-02-28,9.31,$2.56,3.64
2012-11-30,7.08,$2.42,2.93
2012-08-31,6.92,$0.93,7.44
2012-05-31,5.35,$0.76,7.04
2012-02-29,4.69,$5.44,0.86
2011-11-30,4.2,$4.77,0.88
2011-08-31,3.94,$4.88,0.81
2011-05-31,4.5,$4.63,0.97
2011-02-28,3.52,$-0.75,0.0
2010-11-30,2.15,$-0.18,0.0
2010-08-31,2.47,$-0.13,0.0
2010-05-31,2.78,$-0.22,0.0
2010-02-28,2.14,$-1.10,0.0
2009-11-30,1.93,$-1.71,0.0
