Brainsway PE Ratio Historical Data,Brainsway PE Ratio Historical Data,Brainsway PE Ratio Historical Data,Brainsway PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.28,,102.8
2024-09-30,9.24,$0.10,92.4
2024-06-30,6.07,$0.05,121.4
2024-03-31,5.29,$-0.09,0.0
2023-12-31,6.48,$-0.24,0.0
2023-09-30,4.04,$-0.49,0.0
2023-06-30,2.28,$-0.78,0.0
2023-03-31,1.76,$-0.82,0.0
2022-12-31,2.47,$-0.80,0.0
2022-09-30,3.61,$-0.64,0.0
2022-06-30,4.83,$-0.44,0.0
2022-03-31,8.73,$-0.42,0.0
2021-12-31,7.7,$-0.52,0.0
2021-09-30,8.06,$-0.48,0.0
2021-06-30,10.2,$-0.46,0.0
2021-03-31,9.03,$-0.40,0.0
2020-12-31,7.54,$-0.48,0.0
2020-09-30,5.83,$-0.54,0.0
2020-06-30,5.92,$-0.58,0.0
2020-03-31,7.94,$-0.69,0.0
