Cadence Bank PE Ratio Historical Data,Cadence Bank PE Ratio Historical Data,Cadence Bank PE Ratio Historical Data,Cadence Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.13,,10.88
2024-12-31,34.45,$2.77,12.44
2024-09-30,31.63,$3.48,9.09
2024-06-30,27.87,$3.25,8.57
2024-03-31,28.31,$3.13,9.05
2023-12-31,28.62,$2.91,9.84
2023-09-30,20.37,$2.02,10.09
2023-06-30,18.65,$2.19,8.52
2023-03-31,19.49,$2.26,8.63
2022-12-31,22.91,$2.46,9.31
2022-09-30,23.39,$1.72,13.6
2022-06-30,21.43,$1.71,12.53
2022-03-31,26.46,$1.72,15.38
2021-12-31,26.74,$1.89,14.15
2021-09-30,26.55,$2.76,9.62
2021-06-30,25.08,$2.80,8.96
2021-03-31,28.57,$2.68,10.66
2020-12-31,24.01,$2.12,11.33
2020-09-30,16.84,$2.10,8.02
2020-06-30,19.59,$2.04,9.6
2020-03-31,16.16,$2.00,8.08
2019-12-31,26.57,$2.31,11.5
2019-09-30,24.9,$2.15,11.58
2019-06-30,24.27,$2.19,11.08
2019-03-31,23.45,$2.21,10.61
2018-12-31,21.6,$2.23,9.68
2018-09-30,26.85,$2.17,12.37
2018-06-30,26.92,$1.93,13.95
2018-03-31,25.88,$1.79,14.46
2017-12-31,25.48,$1.66,15.35
2017-09-30,25.86,$1.65,15.67
2017-06-30,24.61,$1.62,15.19
2017-03-31,24.4,$1.58,15.45
2016-12-31,25.05,$1.41,17.77
2016-09-30,18.72,$1.23,15.22
2016-06-30,18.31,$1.19,15.38
2016-03-31,17.19,$1.23,13.98
2015-12-31,19.35,$1.32,14.66
2015-09-30,19.18,$1.40,13.7
2015-06-30,20.78,$1.34,15.51
2015-03-31,18.73,$1.25,14.99
2014-12-31,18.16,$1.22,14.89
2014-09-30,16.25,$1.21,13.43
2014-06-30,19.82,$1.17,16.94
2014-03-31,20.14,$1.07,18.82
2013-12-31,20.51,$0.99,20.71
2013-09-30,16.05,$0.88,18.24
2013-06-30,14.21,$0.87,16.34
2013-03-31,13.08,$0.87,15.04
2012-12-31,11.66,$0.90,12.96
2012-09-30,11.81,$0.88,13.42
2012-06-30,11.63,$0.77,15.1
2012-03-31,10.78,$0.70,15.4
2011-12-31,8.81,$0.44,20.03
2011-09-30,7.01,$0.47,14.92
2011-06-30,9.9,$0.46,21.53
2011-03-31,12.32,$0.16,77.0
2010-12-31,12.63,$0.27,46.78
2010-09-30,11.07,$0.31,35.7
2010-06-30,13.74,$0.44,31.23
2010-03-31,15.92,$1.00,15.92
2009-12-31,17.62,$1.25,14.1
