CECO Environmental PE Ratio Historical Data,CECO Environmental PE Ratio Historical Data,CECO Environmental PE Ratio Historical Data,CECO Environmental PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.9,,68.29
2024-12-31,30.23,$0.35,86.37
2024-09-30,28.2,$0.33,85.45
2024-06-30,28.85,$0.36,80.14
2024-03-31,23.02,$0.35,65.77
2023-12-31,20.28,$0.37,54.81
2023-09-30,15.97,$0.50,31.94
2023-06-30,13.36,$0.47,28.43
2023-03-31,13.99,$0.49,28.55
2022-12-31,11.68,$0.51,22.9
2022-09-30,8.85,$0.30,29.5
2022-06-30,5.98,$0.20,29.9
2022-03-31,5.49,$0.08,68.63
2021-12-31,6.23,$0.03,207.67
2021-09-30,7.04,$0.05,140.8
2021-06-30,7.16,$0.08,89.5
2021-03-31,7.93,$0.16,49.56
2020-12-31,6.96,$0.23,30.26
2020-09-30,7.29,$0.42,17.36
2020-06-30,6.59,$0.48,13.73
2020-03-31,4.67,$0.54,8.65
2019-12-31,7.66,$0.49,15.63
2019-09-30,6.99,$0.28,24.95
2019-06-30,9.59,$-0.14,0.0
2019-03-31,7.2,$-0.32,0.0
2018-12-31,6.75,$-0.20,0.0
2018-09-30,7.88,$-0.57,0.0
2018-06-30,6.14,$-0.11,0.0
2018-03-31,4.45,$0.08,55.63
2017-12-31,5.13,$-0.09,0.0
2017-09-30,8.46,$-1.24,0.0
2017-06-30,9.09,$-1.16,0.0
2017-03-31,10.33,$-1.20,0.0
2016-12-31,13.61,$-1.11,0.0
2016-09-30,10.95,$0.29,37.77
2016-06-30,8.43,$-0.05,0.0
2016-03-31,5.95,$-0.09,0.0
2015-12-31,7.27,$-0.17,0.0
2015-09-30,7.68,$-0.01,0.0
2015-06-30,10.55,$0.30,35.16
2015-03-31,9.82,$0.39,25.18
2014-12-31,14.3,$0.50,28.61
2014-09-30,12.28,$0.54,22.75
2014-06-30,14.23,$0.33,43.13
2014-03-31,15.09,$0.33,45.71
2013-12-31,14.65,$0.33,44.39
2013-09-30,12.73,$0.40,31.82
2013-06-30,11.08,$0.66,16.78
2013-03-31,11.59,$0.64,18.12
2012-12-31,8.89,$0.64,13.89
2012-09-30,8.69,$0.63,13.79
2012-06-30,6.99,$0.58,12.05
2012-03-31,6.83,$0.55,12.41
2011-12-31,4.87,$0.51,9.54
2011-09-30,4.97,$0.39,12.75
2011-06-30,5.88,$0.30,19.59
2011-03-31,5.13,$0.21,24.43
2010-12-31,5.18,$0.14,37.02
2010-09-30,5.19,$-0.88,0.0
2010-06-30,4.09,$-0.98,0.0
2010-03-31,3.1,$-1.05,0.0
2009-12-31,3.44,$-1.03,0.0
