CF Industries Holdings PE Ratio Historical Data,CF Industries Holdings PE Ratio Historical Data,CF Industries Holdings PE Ratio Historical Data,CF Industries Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,76.92,,11.36
2024-12-31,85.32,$6.77,12.6
2024-09-30,85.31,$6.32,13.5
2024-06-30,73.24,$5.62,13.03
2024-03-31,81.67,$6.02,13.57
2023-12-31,77.53,$7.84,9.89
2023-09-30,83.2,$10.75,7.74
2023-06-30,67.02,$12.08,5.55
2023-03-31,69.57,$14.96,4.65
2022-12-31,81.38,$16.32,4.99
2022-09-30,91.6,$15.24,6.01
2022-06-30,81.27,$12.20,6.66
2022-03-31,97.33,$7.76,12.54
2021-12-31,66.56,$4.25,15.66
2021-09-30,52.25,$1.38,37.86
2021-06-30,47.86,$2.11,22.68
2021-03-31,41.99,$1.86,22.57
2020-12-31,35.57,$1.47,24.2
2020-09-30,27.95,$1.32,21.17
2020-06-30,25.39,$1.74,14.59
2020-03-31,24.25,$2.13,11.39
2019-12-31,42.24,$2.22,19.03
2019-09-30,43.25,$2.18,19.84
2019-06-30,41.06,$2.02,20.33
2019-03-31,35.68,$1.37,26.04
2018-12-31,37.71,$1.24,30.41
2018-09-30,46.87,$3.01,15.57
2018-06-30,37.99,$2.51,15.13
2018-03-31,32.04,$1.89,16.95
2017-12-31,35.87,$1.52,23.6
2017-09-30,29.4,$-1.83,0.0
2017-06-30,23.15,$-1.59,0.0
2017-03-31,24.03,$-1.40,0.0
2016-12-31,25.56,$-1.19,0.0
2016-09-30,19.55,$0.29,67.42
2016-06-30,19.09,$0.81,23.57
2016-03-31,24.58,$2.10,11.7
2015-12-31,31.66,$2.95,10.74
2015-09-30,34.62,$3.80,9.11
2015-06-30,49.32,$3.94,12.53
2015-03-31,43.32,$3.67,11.82
2014-12-31,41.41,$5.29,7.83
2014-09-30,42.19,$5.47,7.72
2014-06-30,36.12,$5.76,6.28
2014-03-31,38.99,$6.21,6.28
2013-12-31,34.71,$4.92,7.05
2013-09-30,31.26,$5.26,5.94
2013-06-30,25.37,$5.72,4.44
2013-03-31,28.1,$5.91,4.76
2012-12-31,29.94,$5.72,5.23
2012-09-30,32.68,$5.57,5.87
2012-06-30,28.44,$5.25,5.42
2012-03-31,26.75,$4.74,5.65
2011-12-31,21.18,$4.41,4.8
2011-09-30,17.99,$3.63,4.95
2011-06-30,20.6,$2.82,7.3
2011-03-31,19.88,$1.78,11.17
2010-12-31,19.62,$0.98,20.02
2010-09-30,13.86,$0.63,21.92
2010-06-30,9.19,$0.65,14.06
2010-03-31,13.19,$1.21,10.89
2009-12-31,13.12,$1.49,8.83
