Cherry Hill Mortgage Investment PE Ratio Historical Data,Cherry Hill Mortgage Investment PE Ratio Historical Data,Cherry Hill Mortgage Investment PE Ratio Historical Data,Cherry Hill Mortgage Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.59,,59.83
2024-12-31,2.64,$0.06,44.0
2024-09-30,3.63,$-1.52,0.0
2024-06-30,3.49,$-0.54,0.0
2024-03-31,3.26,$-0.51,0.0
2023-12-31,3.57,$-1.70,0.0
2023-09-30,3.17,$-2.00,0.0
2023-06-30,3.96,$-0.59,0.0
2023-03-31,4.39,$-1.48,0.0
2022-12-31,4.4,$0.79,5.57
2022-09-30,3.56,$2.61,1.36
2022-06-30,4.41,$0.35,12.59
2022-03-31,5.1,$0.46,11.08
2021-12-31,5.28,$0.13,40.6
2021-09-30,5.49,$0.28,19.61
2021-06-30,5.92,$0.45,13.15
2021-03-31,5.46,$0.53,10.29
2020-12-31,5.19,$-3.33,0.0
2020-09-30,4.95,$-3.40,0.0
2020-06-30,4.83,$-3.53,0.0
2020-03-31,3.23,$-4.55,0.0
2019-12-31,7.17,$-3.12,0.0
2019-09-30,6.26,$-5.85,0.0
2019-06-30,7.42,$-3.91,0.0
2019-03-31,7.74,$-1.25,0.0
2018-12-31,7.68,$2.75,2.79
2018-09-30,7.65,$6.64,1.15
2018-06-30,7.35,$5.51,1.33
2018-03-31,7.03,$4.48,1.57
2017-12-31,7.01,$4.74,1.48
2017-09-30,6.87,$6.75,1.02
2017-06-30,6.82,$6.98,0.98
2017-03-31,6.15,$7.14,0.86
2016-12-31,6.38,$3.30,1.93
2016-09-30,5.8,$1.09,5.32
2016-06-30,5.13,$-0.31,0.0
2016-03-31,4.52,$1.14,3.97
2015-12-31,4.02,$1.76,2.28
2015-09-30,4.53,$0.42,10.79
2015-06-30,4.68,$1.47,3.18
2015-03-31,4.94,$-0.11,0.0
2014-12-31,5.04,$0.31,16.26
2014-09-30,4.96,$3.52,1.41
