Compass Minerals PE Ratio Historical Data,Compass Minerals PE Ratio Historical Data,Compass Minerals PE Ratio Historical Data,Compass Minerals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.28,,0.0
2024-12-31,11.25,$-3.95,0.0
2024-09-30,12.02,$-5.21,0.0
2024-06-30,10.33,$-4.10,0.0
2024-03-31,15.74,$-2.09,0.0
2023-12-31,25.14,$-1.46,0.0
2023-09-30,27.58,$0.36,76.62
2023-06-30,33.38,$0.22,151.72
2023-03-31,33.52,$-0.97,0.0
2022-12-31,39.92,$-0.80,0.0
2022-09-30,37.38,$-0.72,0.0
2022-06-30,34.2,$-2.17,0.0
2022-03-31,60.47,$-0.31,0.0
2021-12-31,49.07,$-6.55,0.0
2021-09-30,61.68,$-6.62,0.0
2021-06-30,56.15,$-5.04,0.0
2021-03-31,58.79,$-6.63,0.0
2020-12-31,57.22,$0.77,74.31
2020-09-30,54.39,$0.77,70.64
2020-06-30,44.12,$1.15,38.37
2020-03-31,34.3,$0.75,45.74
2019-12-31,53.65,$0.17,315.59
2019-09-30,49.08,$0.17,288.69
2019-06-30,47.06,$0.23,204.62
2019-03-31,45.93,$0.36,127.59
2018-12-31,34.74,$0.51,68.12
2018-09-30,55.21,$0.51,108.25
2018-06-30,53.41,$1.08,49.45
2018-03-31,48.45,$1.12,43.26
2017-12-31,57.36,$1.38,41.57
2017-09-30,51.0,$1.38,36.96
2017-06-30,50.76,$0.71,71.5
2017-03-31,52.16,$1.08,48.3
2016-12-31,59.67,$1.91,31.24
2016-09-30,55.63,$1.91,29.13
2016-06-30,55.49,$2.44,22.74
2016-03-31,52.53,$2.65,19.82
2015-12-31,55.23,$2.98,18.53
2015-09-30,57.06,$2.98,19.15
2015-06-30,59.32,$4.78,12.41
2015-03-31,66.81,$4.37,15.29
2014-12-31,61.78,$4.07,15.18
2014-09-30,59.57,$4.07,14.64
2014-06-30,67.21,$1.93,34.82
2014-03-31,57.56,$2.27,25.35
2013-12-31,55.43,$2.16,25.66
2013-09-30,52.42,$2.16,24.27
2013-06-30,57.66,$1.98,29.12
2013-03-31,53.49,$1.94,27.57
2012-12-31,50.28,$1.75,28.73
2012-09-30,49.88,$1.75,28.5
2012-06-30,50.66,$2.50,20.27
2012-03-31,47.32,$2.64,17.92
2011-12-31,45.11,$3.14,14.36
2011-09-30,43.48,$3.14,13.85
2011-06-30,55.71,$2.69,20.71
2011-03-31,60.24,$2.61,23.08
2010-12-31,57.21,$2.69,21.27
2010-09-30,48.87,$2.69,18.17
2010-06-30,44.59,$2.88,15.48
2010-03-31,50.64,$2.96,17.11
2009-12-31,42.19,$3.04,13.88
