CMS Energy PE Ratio Historical Data,CMS Energy PE Ratio Historical Data,CMS Energy PE Ratio Historical Data,CMS Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,73.69,,22.2
2024-12-31,66.65,$3.32,20.08
2024-09-30,70.1,$3.50,20.03
2024-06-30,58.62,$3.26,17.98
2024-03-31,58.94,$3.28,17.97
2023-12-31,56.2,$3.01,18.67
2023-09-30,50.95,$2.54,20.06
2023-06-30,55.9,$2.50,22.36
2023-03-31,57.94,$2.33,24.87
2022-12-31,59.31,$2.85,20.81
2022-09-30,54.11,$4.47,12.1
2022-06-30,62.29,$4.55,13.69
2022-03-31,64.1,$4.66,13.76
2021-12-31,59.19,$4.66,12.7
2021-09-30,53.96,$3.01,17.93
2021-06-30,53.0,$3.13,16.93
2021-03-31,54.56,$3.00,18.19
2020-12-31,53.96,$2.64,20.44
2020-09-30,53.97,$2.68,20.14
2020-06-30,51.0,$2.65,19.25
2020-03-31,50.91,$2.50,20.36
2019-12-31,54.13,$2.40,22.55
2019-09-30,54.75,$2.19,25.0
2019-06-30,49.26,$2.05,24.03
2019-03-31,46.92,$2.21,21.23
2018-12-31,41.64,$2.32,17.95
2018-09-30,40.79,$1.93,21.14
2018-06-30,39.07,$1.95,20.04
2018-03-31,37.14,$1.79,20.75
2017-12-31,38.47,$1.64,23.46
2017-09-30,37.42,$1.93,19.39
2017-06-30,37.1,$1.99,18.64
2017-03-31,35.62,$2.11,16.88
2016-12-31,32.88,$1.99,16.52
2016-09-30,32.94,$2.09,15.76
2016-06-30,35.7,$1.95,18.31
2016-03-31,32.8,$1.75,18.74
2015-12-31,27.66,$1.89,14.64
2015-09-30,26.86,$1.86,14.44
2015-06-30,24.01,$1.67,14.38
2015-03-31,26.1,$1.72,15.17
2014-12-31,25.77,$1.74,14.81
2014-09-30,21.82,$1.76,12.4
2014-06-30,22.71,$1.88,12.08
2014-03-31,21.16,$1.87,11.31
2013-12-31,19.15,$1.65,11.61
2013-09-30,18.66,$1.53,12.19
2013-06-30,19.08,$1.62,11.78
2013-03-31,19.46,$1.70,11.45
2012-12-31,16.81,$1.42,11.84
2012-09-30,16.08,$1.32,12.18
2012-06-30,15.89,$1.30,12.22
2012-03-31,14.72,$1.31,11.23
2011-12-31,14.61,$1.58,9.25
2011-09-30,12.96,$1.52,8.53
2011-06-30,12.75,$1.52,8.39
2011-03-31,12.59,$1.46,8.62
2010-12-31,11.79,$1.28,9.21
2010-09-30,11.3,$1.21,9.34
2010-06-30,9.1,$0.99,9.19
2010-03-31,9.51,$0.99,9.61
2009-12-31,9.54,$0.95,10.04
