Cementos Pacasmayo S.A.A PE Ratio Historical Data,Cementos Pacasmayo S.A.A PE Ratio Historical Data,Cementos Pacasmayo S.A.A PE Ratio Historical Data,Cementos Pacasmayo S.A.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.77,,10.12
2024-09-30,5.27,$0.57,9.24
2024-06-30,5.24,$0.56,9.36
2024-03-31,5.6,$0.58,9.65
2023-12-31,4.71,$0.55,8.56
2023-09-30,4.27,$0.57,7.49
2023-06-30,4.2,$0.57,7.38
2023-03-31,4.36,$0.55,7.93
2022-06-30,3.53,$0.50,7.06
2021-12-31,4.67,$0.45,10.39
2021-09-30,4.04,$0.45,8.97
2021-06-30,4.92,$0.49,10.05
2021-03-31,5.11,$0.25,20.44
2020-12-31,4.88,$0.19,25.71
2020-09-30,4.92,$0.14,35.11
2020-06-30,5.33,$0.11,48.41
2020-03-31,4.47,$0.39,11.47
2019-12-31,5.82,$0.46,12.65
2019-09-30,5.27,$0.32,16.45
2019-06-30,5.24,$0.31,16.89
2019-03-31,5.95,$0.28,21.25
2018-12-31,5.65,$0.28,20.18
2018-09-30,5.89,$0.32,18.4
2018-06-30,6.53,$0.34,19.2
2018-03-31,6.76,$0.33,20.49
2017-12-31,6.99,$0.28,24.96
2017-09-30,6.89,$0.31,22.22
2017-06-30,6.18,$0.29,21.32
2017-03-31,6.07,$0.30,20.24
2016-12-31,6.25,$0.32,19.52
2016-09-30,6.39,$0.46,13.89
2016-06-30,5.81,$0.50,11.61
2016-03-31,5.09,$0.54,9.43
2015-12-31,4.97,$0.60,8.29
2015-09-30,3.61,$0.62,5.82
2015-06-30,4.77,$0.58,8.23
2015-03-31,4.53,$0.57,7.95
2014-12-31,5.27,$0.55,9.59
2014-09-30,5.21,$0.47,11.09
2014-06-30,4.9,$0.50,9.81
2014-03-31,5.1,$0.45,11.32
2013-12-31,6.89,$0.48,14.35
2013-09-30,6.7,$0.50,13.4
2013-06-30,7.29,$0.50,14.58
2013-03-31,8.5,$0.53,16.05
2012-12-31,7.65,$0.53,14.44
