CrowdStrike PE Ratio Historical Data,CrowdStrike PE Ratio Historical Data,CrowdStrike PE Ratio Historical Data,CrowdStrike PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,369.03,,0.0
2025-01-31,398.07,$-0.08,0.0
2024-10-31,296.87,$0.51,582.1
2024-07-31,231.96,$0.69,336.17
2024-04-30,292.54,$0.53,551.96
2024-01-31,292.5,$0.36,812.5
2023-10-31,176.77,$-0.06,0.0
2023-07-31,161.66,$-0.41,0.0
2023-04-30,120.05,$-0.65,0.0
2023-01-31,105.9,$-0.79,0.0
2022-10-31,161.2,$-0.77,0.0
2022-07-31,183.6,$-0.75,0.0
2022-04-30,198.76,$-0.79,0.0
2022-01-31,180.64,$-1.03,0.0
2021-10-31,281.8,$-0.94,0.0
2021-07-31,253.61,$-0.83,0.0
2021-04-30,208.51,$-0.72,0.0
2021-01-31,215.8,$-0.43,0.0
2020-10-31,123.84,$-0.48,0.0
2020-07-31,113.2,$-0.54,0.0
2020-04-30,67.66,$-0.80,0.0
