CVD Equipment PE Ratio Historical Data,CVD Equipment PE Ratio Historical Data,CVD Equipment PE Ratio Historical Data,CVD Equipment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.16,,0.0
2024-12-31,4.4,$-0.30,0.0
2024-09-30,3.31,$-0.63,0.0
2024-06-30,3.89,$-0.77,0.0
2024-03-31,4.71,$-0.82,0.0
2023-12-31,4.43,$-0.61,0.0
2023-09-30,6.65,$-0.05,0.0
2023-06-30,7.37,$0.07,105.29
2023-03-31,13.3,$0.11,120.91
2022-12-31,5.51,$-0.03,0.0
2022-09-30,5.2,$-0.44,0.0
2022-06-30,3.95,$0.44,8.98
2022-03-31,4.48,$0.78,5.74
2021-12-31,4.13,$0.70,5.9
2021-09-30,4.58,$0.08,57.25
2021-06-30,4.5,$-1.00,0.0
2021-03-31,4.35,$-1.39,0.0
2020-12-31,3.63,$-0.91,0.0
2020-09-30,3.06,$-0.50,0.0
2020-06-30,3.08,$-0.33,0.0
2020-03-31,2.38,$-0.37,0.0
2019-12-31,3.22,$-0.95,0.0
2019-09-30,3.33,$-0.85,0.0
2019-06-30,3.65,$-1.22,0.0
2019-03-31,3.93,$-1.22,0.0
2018-12-31,3.55,$-0.80,0.0
2018-09-30,6.15,$-0.27,0.0
2018-06-30,6.66,$0.34,19.59
2018-03-31,9.13,$0.75,12.17
2017-12-31,11.62,$0.82,14.17
2017-09-30,11.0,$0.70,15.71
2017-06-30,11.07,$0.47,23.55
2017-03-31,10.38,$0.19,54.63
2016-12-31,8.68,$-0.02,0.0
2016-09-30,8.36,$-0.08,0.0
2016-06-30,8.58,$0.06,143.0
2016-03-31,8.41,$0.35,24.03
2015-12-31,10.08,$0.51,19.76
2015-09-30,11.0,$-0.08,0.0
2015-06-30,11.16,$-0.07,0.0
2015-03-31,13.78,$-0.25,0.0
2014-12-31,14.39,$-0.40,0.0
2014-09-30,12.94,$0.04,323.5
2014-06-30,12.11,$-0.17,0.0
2014-03-31,13.97,$-0.06,0.0
2013-12-31,14.54,$-0.09,0.0
2013-09-30,9.66,$-0.13,0.0
2013-06-30,8.33,$-0.03,0.0
2013-03-31,10.15,$-0.12,0.0
2012-12-31,9.6,$0.07,137.14
2012-09-30,9.68,$0.38,25.47
2012-06-30,12.86,$0.55,23.38
2012-03-31,13.51,$0.64,21.11
2011-12-31,12.03,$0.66,18.23
2011-09-30,13.5,$0.56,24.11
2011-06-30,13.02,$0.39,33.38
2011-03-31,10.81,$0.27,40.04
2010-12-31,7.2,$0.11,65.45
2010-09-30,4.63,$0.06,77.17
2010-06-30,3.1,$0.05,62.0
2010-03-31,3.35,$0.03,111.67
2009-12-31,4.15,$0.03,138.33
