Dollar General PE Ratio Historical Data,Dollar General PE Ratio Historical Data,Dollar General PE Ratio Historical Data,Dollar General PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,81.67,,19.26
2025-01-31,71.06,$4.24,16.76
2024-10-31,80.04,$6.07,13.19
2024-07-31,119.55,$6.44,18.56
2024-04-30,137.58,$6.87,20.03
2024-01-31,130.06,$7.56,17.2
2023-10-31,116.71,$8.69,13.43
2023-07-31,164.62,$9.76,16.87
2023-04-30,215.15,$10.61,20.28
2023-01-31,226.33,$10.68,21.19
2022-10-31,246.56,$10.29,23.96
2022-07-31,239.62,$10.04,23.87
2022-04-30,228.6,$9.75,23.45
2022-01-31,200.15,$10.16,19.7
2021-10-31,212.29,$10.21,20.79
2021-07-31,222.5,$10.44,21.31
2021-04-30,204.99,$10.87,18.86
2021-01-31,185.39,$10.61,17.47
2020-10-31,198.49,$10.09,19.67
2020-07-31,180.77,$9.20,19.65
2020-04-30,166.11,$7.73,21.49
2020-01-31,145.06,$6.65,21.81
2019-10-31,151.3,$6.39,23.68
2019-07-31,126.21,$6.23,20.26
2019-04-30,118.47,$6.10,19.42
2019-01-31,108.17,$5.98,18.09
2018-10-31,104.11,$6.77,15.38
2018-07-31,91.49,$6.44,14.21
2018-04-30,89.71,$6.00,14.95
2018-01-31,95.55,$5.66,16.88
2017-10-31,74.7,$4.52,16.53
2017-07-31,69.23,$4.43,15.63
2017-04-30,66.97,$4.43,15.12
2017-01-31,67.74,$4.44,15.26
2016-10-31,63.19,$4.25,14.87
2016-07-31,86.35,$4.27,20.22
2016-04-30,74.45,$4.14,17.98
2016-01-31,68.02,$3.95,17.22
2015-10-31,61.23,$3.82,16.03
2015-07-31,72.38,$3.74,19.35
2015-04-30,65.29,$3.62,18.04
2015-01-31,60.04,$3.50,17.16
2014-10-31,56.11,$3.34,16.8
2014-07-31,49.45,$3.30,14.99
2014-04-30,50.54,$3.22,15.69
2014-01-31,50.43,$3.17,15.91
2013-10-31,51.74,$3.13,16.53
2013-07-31,48.95,$3.01,16.26
2013-04-30,46.64,$2.90,16.08
2013-01-31,41.39,$2.86,14.47
2012-10-31,43.53,$2.74,15.89
2012-07-31,45.67,$2.62,17.43
2012-04-30,42.5,$2.40,17.71
2012-01-31,38.15,$2.22,17.19
2011-10-31,35.51,$2.01,17.67
2011-07-31,28.17,$1.88,14.98
2011-04-30,29.18,$1.87,15.6
2011-01-31,24.9,$1.81,13.76
2010-10-31,25.24,$1.43,17.65
