Daily Journal (S.C.) PE Ratio Historical Data,Daily Journal (S.C.) PE Ratio Historical Data,Daily Journal (S.C.) PE Ratio Historical Data,Daily Journal (S.C.) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,399.7,,7.21
2024-12-31,567.99,$55.47,10.24
2024-09-30,490.1,$56.72,8.64
2024-06-30,394.48,$32.60,12.1
2024-03-31,361.61,$16.13,22.42
2023-12-31,340.82,$11.79,28.91
2023-09-30,294.0,$15.58,18.87
2023-06-30,289.28,$-12.22,0.0
2023-03-31,284.96,$-19.86,0.0
2022-12-31,250.51,$-46.85,0.0
2022-09-30,256.39,$-54.82,0.0
2022-06-30,258.8,$-23.34,0.0
2022-03-31,311.99,$14.64,21.31
2021-12-31,356.73,$43.82,8.14
2021-09-30,320.37,$81.77,3.92
2021-06-30,338.5,$105.90,3.2
2021-03-31,316.45,$85.41,3.71
2020-12-31,404.0,$35.58,11.35
2020-09-30,242.0,$2.94,82.31
2020-06-30,270.0,$-29.22,0.0
2020-03-31,228.3,$-36.79,0.0
2019-12-31,290.42,$7.63,38.06
2019-09-30,247.56,$-18.26,0.0
2019-06-30,238.0,$-13.06,0.0
2019-03-31,214.1,$-16.53,0.0
2018-12-31,234.0,$-20.33,0.0
2018-09-30,241.0,$5.94,40.57
2018-06-30,230.2,$9.03,25.49
2018-03-31,228.49,$8.75,26.11
2017-12-31,230.22,$11.08,20.78
2017-09-30,218.61,$-0.66,0.0
2017-06-30,209.94,$-0.59,0.0
2017-03-31,214.29,$0.14,1530.64
2016-12-31,241.8,$-1.87,0.0
2016-09-30,219.0,$-0.76,0.0
2016-06-30,236.99,$-0.17,0.0
2016-03-31,195.69,$0.10,1956.9
2015-12-31,202.0,$0.32,631.25
2015-09-30,186.2,$0.59,315.59
2015-06-30,196.51,$0.70,280.73
2015-03-31,183.2,$2.74,66.86
2014-12-31,263.01,$2.37,110.97
2014-09-30,180.5,$2.06,87.62
2014-06-30,206.69,$2.06,100.33
2014-03-31,172.97,$0.60,288.28
2013-12-31,191.85,$1.44,133.23
2013-09-30,146.99,$2.04,72.05
2013-06-30,113.0,$3.18,35.53
2013-03-31,111.0,$2.73,40.66
2012-12-31,92.55,$3.37,27.46
2012-09-30,93.77,$4.01,23.38
2012-06-30,85.78,$4.26,20.14
2012-03-31,78.12,$5.48,14.26
2011-12-31,65.15,$5.33,12.22
2011-09-30,65.25,$5.67,11.51
2011-06-30,72.0,$5.74,12.54
2011-03-31,73.9,$5.71,12.94
2010-12-31,72.0,$5.63,12.79
2010-09-30,72.0,$5.56,12.95
2010-06-30,68.18,$5.72,11.92
2010-03-31,66.78,$6.04,11.06
2009-12-31,62.0,$5.99,10.35
