Dynagas LNG Partners LP PE Ratio Historical Data,Dynagas LNG Partners LP PE Ratio Historical Data,Dynagas LNG Partners LP PE Ratio Historical Data,Dynagas LNG Partners LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.02,,4.19
2024-09-30,3.75,$0.96,3.91
2024-06-30,3.99,$0.60,6.64
2024-03-31,2.9,$0.71,4.08
2023-12-31,2.77,$0.66,4.2
2023-09-30,2.68,$0.69,3.88
2023-06-30,2.48,$0.85,2.92
2023-03-31,2.8,$0.76,3.68
2022-12-31,2.59,$1.15,2.25
2022-09-30,2.85,$1.29,2.21
2022-06-30,3.27,$1.40,2.34
2022-03-31,3.97,$1.35,2.94
2021-12-31,2.86,$1.14,2.51
2021-09-30,3.03,$0.98,3.09
2021-06-30,3.29,$0.95,3.47
2021-03-31,2.83,$0.88,3.21
2020-12-31,2.47,$0.63,3.93
2020-09-30,2.47,$0.48,5.15
2020-06-30,3.17,$0.07,45.22
2020-03-31,1.06,$-0.09,0.0
2019-12-31,2.09,$-0.23,0.0
2019-09-30,1.96,$-0.40,0.0
2019-06-30,1.43,$-0.26,0.0
2019-03-31,2.17,$-0.24,0.0
2018-12-31,3.17,$-0.12,0.0
2018-09-30,8.01,$0.09,88.96
2018-06-30,7.25,$0.22,32.95
2018-03-31,8.61,$0.07,123.07
2017-12-31,9.04,$0.30,30.13
2017-09-30,11.25,$0.58,19.4
2017-06-30,11.89,$0.96,12.38
2017-03-31,13.37,$1.58,8.46
2016-12-31,11.83,$1.69,7.0
2016-09-30,11.16,$1.67,6.68
2016-06-30,9.55,$1.64,5.82
2016-03-31,7.73,$1.61,4.8
2015-12-31,6.29,$1.60,3.93
2015-09-30,8.37,$1.66,5.04
2015-06-30,9.7,$1.64,5.91
2015-03-31,11.52,$1.61,7.15
2014-12-31,9.56,$1.56,6.13
2014-09-30,13.55,$1.64,8.26
