DSS PE Ratio Historical Data,DSS PE Ratio Historical Data,DSS PE Ratio Historical Data,DSS PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.92,,0.0
2024-09-30,1.27,$-1.99,0.0
2024-06-30,1.72,$-1.84,0.0
2024-03-31,1.81,$-6.58,0.0
2023-12-31,2.4,$-7.20,0.0
2023-09-30,3.68,$-7.20,0.0
2023-06-30,7.17,$-9.60,0.0
2023-03-31,4.3,$-5.20,0.0
2022-12-31,3.28,$-6.00,0.0
2022-09-30,5.12,$-6.00,0.0
2022-06-30,7.03,$-4.80,0.0
2022-03-31,11.46,$-8.60,0.0
2021-12-31,13.44,$-10.80,0.0
2021-09-30,25.8,$-10.80,0.0
2021-06-30,35.8,$4.00,8.95
2021-03-31,72.2,$1.20,60.17
2020-12-31,124.8,$-19.20,0.0
2020-09-30,91.2,$-19.20,0.0
2020-06-30,163.4,$-62.23,0.0
2020-03-31,118.86,$-84.66,0.0
2019-12-31,180.72,$-78.08,0.0
2019-09-30,230.7,$-90.09,0.0
2019-06-30,299.94,$-72.07,0.0
2019-03-31,780.0,$54.05,14.43
2018-12-31,439.56,$60.06,7.32
2018-09-30,636.0,$78.08,8.15
2018-06-30,768.0,$78.08,9.84
2018-03-31,804.0,$-30.03,0.0
2017-12-31,1080.0,$-24.02,0.0
2017-09-30,498.0,$-30.03,0.0
2017-06-30,469.56,$-18.02,0.0
2017-03-31,720.0,$-30.03,0.0
2016-12-31,399.6,$-48.05,0.0
2016-09-30,390.0,$-600.60,0.0
2016-06-30,482.88,$-648.65,0.0
2016-03-31,444.0,$-672.67,0.0
2015-12-31,409.44,$-744.74,0.0
2015-09-30,413.76,"$-1,777.78",0.0
2015-06-30,636.0,"$-2,186.19",0.0
2015-03-31,840.0,"$-2,282.28",0.0
2014-12-31,1080.0,"$-2,354.35",0.0
2014-09-30,2040.0,$-816.82,0.0
2014-06-30,3288.0,0,0.0
2014-03-31,3072.0,$-72.07,0.0
2013-12-31,4968.0,$-24.02,0.0
2013-09-30,2736.0,$-96.10,0.0
2013-06-30,5520.0,$-576.58,0.0
2013-03-31,5448.0,$-480.48,0.0
2012-12-31,5208.0,$-480.48,0.0
2012-09-30,9984.0,$-480.48,0.0
2012-06-30,9672.0,$-456.46,0.0
2012-03-31,7248.0,$-480.48,0.0
2011-12-31,6120.0,$-408.41,0.0
2011-09-30,6960.0,$-552.55,0.0
2011-06-30,7536.0,$-576.58,0.0
2011-03-31,9864.0,$-576.58,0.0
2010-12-31,12936.0,$-696.70,0.0
2010-09-30,8112.0,$-600.60,0.0
2010-06-30,7584.0,$-624.62,0.0
2010-03-31,9360.0,$-648.65,0.0
2009-12-31,5880.0,$-648.65,0.0
