Dyadic PE Ratio Historical Data,Dyadic PE Ratio Historical Data,Dyadic PE Ratio Historical Data,Dyadic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.4,,0.0
2024-09-30,1.04,$-0.23,0.0
2024-06-30,1.48,$-0.28,0.0
2024-03-31,1.67,$-0.28,0.0
2023-12-31,1.61,$-0.24,0.0
2023-09-30,1.92,$-0.23,0.0
2023-06-30,1.93,$-0.23,0.0
2023-03-31,1.78,$-0.28,0.0
2022-12-31,1.23,$-0.34,0.0
2022-09-30,1.91,$-0.42,0.0
2022-06-30,3.05,$-0.42,0.0
2022-03-31,3.01,$-0.44,0.0
2021-12-31,4.52,$-0.35,0.0
2021-09-30,5.56,$-0.20,0.0
2021-06-30,3.59,$-0.23,0.0
2021-03-31,5.49,$-0.19,0.0
2020-12-31,5.38,$-0.27,0.0
2020-09-30,7.57,$-0.34,0.0
2020-06-30,8.66,$-0.31,0.0
2020-03-31,5.2,$-0.31,0.0
