Electromed PE Ratio Historical Data,Electromed PE Ratio Historical Data,Electromed PE Ratio Historical Data,Electromed PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.99,,33.32
2024-12-31,29.55,$0.75,39.4
2024-09-30,21.47,$0.72,29.82
2024-06-30,15.03,$0.58,25.91
2024-03-31,16.15,$0.50,32.3
2023-12-31,10.91,$0.45,24.24
2023-09-30,10.39,$0.37,28.08
2023-06-30,10.71,$0.36,29.75
2023-03-31,10.4,$0.28,37.14
2022-12-31,10.49,$0.23,45.61
2022-09-30,10.25,$0.22,46.59
2022-06-30,9.64,$0.26,37.08
2022-03-31,12.44,$0.26,47.85
2021-12-31,13.0,$0.22,59.09
2021-09-30,10.82,$0.25,43.28
2021-06-30,11.29,$0.26,43.42
2021-03-31,10.54,$0.37,28.49
2020-12-31,9.81,$0.41,23.93
2020-09-30,10.41,$0.42,24.79
2020-06-30,15.39,$0.48,32.06
2020-03-31,11.24,$0.46,24.43
2019-12-31,8.65,$0.43,20.12
2019-09-30,6.61,$0.33,20.03
2019-06-30,5.45,$0.23,23.7
2019-03-31,5.15,$0.23,22.39
2018-12-31,5.09,$0.23,22.13
2018-09-30,6.5,$0.23,28.26
2018-06-30,5.42,$0.22,24.64
2018-03-31,5.36,$0.20,26.8
2017-12-31,6.07,$0.24,25.29
2017-09-30,7.31,$0.25,29.24
2017-06-30,5.53,$0.26,21.27
2017-03-31,4.93,$0.19,25.95
2016-12-31,3.88,$0.17,22.82
2016-09-30,4.59,$0.25,18.36
2016-06-30,3.86,$0.27,14.3
2016-03-31,4.15,$0.26,15.96
2015-12-31,1.9,$0.20,9.5
2015-09-30,1.8,$0.12,15.0
2015-06-30,1.85,$0.13,14.23
2015-03-31,2.51,$0.14,17.93
2014-12-31,2.66,$0.02,133.24
2014-09-30,1.78,$-0.06,0.0
2014-06-30,1.42,$-0.15,0.0
2014-03-31,1.4,$-0.24,0.0
2013-12-31,3.4,$-0.17,0.0
2013-09-30,1.07,$-0.19,0.0
2013-06-30,1.27,$-0.16,0.0
2013-03-31,1.45,$-0.13,0.0
2012-12-31,1.35,$-0.07,0.0
2012-09-30,1.45,$-0.02,0.0
2012-06-30,2.1,$0.02,105.0
2012-03-31,2.9,$0.06,48.33
2011-12-31,3.45,$0.11,31.36
2011-09-30,3.5,$0.15,23.33
2011-06-30,3.3,$0.14,23.57
