Franklin BSP Realty Trust PE Ratio Historical Data,Franklin BSP Realty Trust PE Ratio Historical Data,Franklin BSP Realty Trust PE Ratio Historical Data,Franklin BSP Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.14,,24.33
2024-12-31,12.54,$0.54,23.22
2024-09-30,13.06,$0.82,15.93
2024-06-30,12.6,$0.82,15.37
2024-03-31,13.36,$1.32,10.12
2023-12-31,13.51,$1.41,9.58
2023-09-30,13.24,$1.38,9.59
2023-06-30,14.16,$1.42,9.97
2023-03-31,11.93,$0.60,19.88
2022-12-31,12.9,$-0.83,0.0
2022-09-30,10.77,$-3.39,0.0
