First Citizens BancShares PE Ratio Historical Data,First Citizens BancShares PE Ratio Historical Data,First Citizens BancShares PE Ratio Historical Data,First Citizens BancShares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1842.96,,9.73
2024-12-31,2113.02,$189.43,11.15
2024-09-30,1839.39,$174.55,10.54
2024-06-30,1680.82,$181.80,9.25
2024-03-31,1630.72,$180.13,9.05
2023-12-31,1413.77,$784.51,1.8
2023-09-30,1373.49,$766.85,1.79
2023-06-30,1276.6,$735.43,1.74
2023-03-31,967.33,$704.42,1.37
2022-12-31,753.1,$67.48,11.16
2022-09-30,791.16,$62.90,12.58
2022-06-30,648.27,$55.82,11.61
2022-03-31,659.54,$56.05,11.77
2021-12-31,821.79,$53.88,15.25
2021-09-30,834.52,$55.38,15.07
2021-06-30,823.71,$57.24,14.39
2021-03-31,826.25,$56.89,14.52
2020-12-31,567.42,$47.82,11.87
2020-09-30,314.73,$43.78,7.19
2020-06-30,399.43,$41.02,9.74
2020-03-31,327.95,$36.84,8.9
2019-12-31,523.74,$41.05,12.76
2019-09-30,463.7,$39.12,11.85
2019-06-30,442.4,$37.65,11.75
2019-03-31,399.72,$34.86,11.47
2018-12-31,369.77,$33.54,11.02
2018-09-30,443.08,$30.45,14.55
2018-06-30,394.81,$26.23,15.05
2018-03-31,404.21,$29.67,13.62
2017-12-31,393.88,$26.95,14.62
2017-09-30,365.12,$26.81,13.62
2017-06-30,363.64,$25.51,14.25
2017-03-31,326.94,$20.07,16.29
2016-12-31,345.78,$18.78,18.41
2016-09-30,286.03,$17.95,15.93
2016-06-30,251.71,$18.33,13.73
2016-03-31,243.79,$16.27,14.98
2015-12-31,250.39,$17.24,14.52
2015-09-30,218.92,$18.92,11.57
2015-06-30,254.47,$17.00,14.97
2015-03-31,250.93,$16.05,15.63
2014-12-31,243.97,$13.07,18.67
2014-09-30,208.83,$10.66,19.59
2014-06-30,235.87,$12.18,19.37
2014-03-31,231.51,$13.98,16.56
2013-12-31,213.81,$17.43,12.27
2013-09-30,197.18,$16.75,11.77
2013-06-30,183.92,$16.34,11.26
2013-03-31,174.7,$15.44,11.31
2012-12-31,156.08,$13.11,11.91
2012-09-30,155.11,$13.93,11.14
2012-06-30,158.4,$17.99,8.8
2012-03-31,173.33,$16.37,10.59
2011-12-31,165.75,$18.93,8.76
2011-09-30,135.72,$18.84,7.2
2011-06-30,176.68,$13.59,13.0
2011-03-31,188.98,$14.29,13.22
2010-12-31,177.85,$18.59,9.57
2010-09-30,174.01,$17.46,9.97
2010-06-30,180.35,$22.70,7.94
2010-03-31,186.1,$20.55,9.06
2009-12-31,153.34,$11.07,13.85
