Franklin Electric PE Ratio Historical Data,Franklin Electric PE Ratio Historical Data,Franklin Electric PE Ratio Historical Data,Franklin Electric PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,98.01,,25.46
2024-12-31,97.45,$3.85,25.31
2024-09-30,104.58,$3.95,26.48
2024-06-30,95.86,$4.01,23.91
2024-03-31,106.03,$4.02,26.38
2023-12-31,95.69,$4.11,23.28
2023-09-30,88.11,$4.13,21.33
2023-06-30,101.38,$4.14,24.49
2023-03-31,92.49,$4.13,22.39
2022-12-31,78.19,$3.97,19.7
2022-09-30,79.92,$3.98,20.08
2022-06-30,71.5,$3.72,19.22
2022-03-31,80.83,$3.29,24.57
2021-12-31,91.84,$3.25,28.26
2021-09-30,77.4,$2.97,26.06
2021-06-30,77.98,$2.81,27.75
2021-03-31,76.2,$2.50,30.48
2020-12-31,66.64,$2.14,31.14
2020-09-30,56.51,$1.99,28.39
2020-06-30,50.31,$1.89,26.62
2020-03-31,45.0,$2.07,21.74
2019-12-31,54.59,$2.03,26.89
2019-09-30,45.41,$2.12,21.42
2019-06-30,44.98,$2.03,22.16
2019-03-31,48.23,$1.97,24.48
2018-12-31,40.36,$2.23,18.1
2018-09-30,44.35,$1.89,23.46
2018-06-30,42.22,$1.78,23.72
2018-03-31,38.04,$1.78,21.37
2017-12-31,42.75,$1.66,25.75
2017-09-30,41.67,$1.86,22.41
2017-06-30,38.37,$1.84,20.85
2017-03-31,39.79,$1.70,23.4
2016-12-31,35.86,$1.65,21.73
2016-09-30,37.43,$1.61,23.25
2016-06-30,30.3,$1.54,19.68
2016-03-31,29.41,$1.37,21.46
2015-12-31,24.62,$1.50,16.41
2015-09-30,24.73,$1.23,20.1
2015-06-30,29.26,$1.26,23.22
2015-03-31,34.43,$1.48,23.26
2014-12-31,33.79,$1.42,23.8
2014-09-30,31.2,$1.63,19.14
2014-06-30,36.13,$1.68,21.51
2014-03-31,38.01,$1.71,22.23
2013-12-31,39.82,$1.68,23.7
2013-09-30,35.08,$1.69,20.76
2013-06-30,29.9,$1.64,18.28
2013-03-31,29.76,$1.58,18.89
2012-12-31,27.43,$1.74,15.81
2012-09-30,26.68,$1.71,15.65
2012-06-30,22.5,$1.65,13.63
2012-03-31,21.53,$1.59,13.58
2011-12-31,19.06,$1.33,14.33
2011-09-30,15.83,$1.26,12.57
2011-06-30,20.42,$1.12,18.23
2011-03-31,20.04,$0.90,22.26
2010-12-31,16.83,$0.83,20.27
2010-09-30,14.29,$0.82,17.53
2010-06-30,12.37,$0.74,16.71
2010-03-31,12.82,$0.63,20.35
2009-12-31,12.36,$0.56,22.06
