Fortive PE Ratio Historical Data,Fortive PE Ratio Historical Data,Fortive PE Ratio Historical Data,Fortive PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,74.66,,31.64
2024-12-31,75.0,$2.36,31.78
2024-09-30,78.85,$2.51,31.41
2024-06-30,73.95,$2.49,29.7
2024-03-31,85.84,$2.53,33.93
2023-12-31,73.41,$2.44,30.09
2023-09-30,73.85,$2.33,31.69
2023-06-30,74.39,$2.25,33.06
2023-03-31,67.75,$2.14,31.66
2022-12-31,63.79,$2.10,30.38
2022-09-30,57.82,$1.91,30.27
2022-06-30,53.87,$1.80,29.93
2022-03-31,60.29,$1.80,33.5
2021-12-31,75.41,$1.62,46.55
2021-09-30,69.69,$4.54,15.35
2021-06-30,68.81,$4.73,14.55
2021-03-31,69.63,$4.58,15.2
2020-12-31,69.73,$4.38,15.92
2020-09-30,62.9,$1.53,41.11
2020-06-30,55.79,$1.48,37.69
2020-03-31,45.45,$1.61,28.23
2019-12-31,62.85,$1.97,31.9
2019-09-30,56.35,$7.62,7.4
2019-06-30,66.94,$7.70,8.69
2019-03-31,68.82,$8.07,8.53
2018-12-31,55.46,$8.38,6.62
2018-09-30,69.02,$3.16,21.84
2018-06-30,63.15,$3.28,19.25
2018-03-31,63.43,$3.13,20.26
2017-12-31,59.15,$2.96,19.98
2017-09-30,57.81,$2.65,21.82
2017-06-30,51.68,$2.54,20.35
