Geospace Technologies PE Ratio Historical Data,Geospace Technologies PE Ratio Historical Data,Geospace Technologies PE Ratio Historical Data,Geospace Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.46,,0.0
2024-12-31,10.02,$-0.83,0.0
2024-09-30,10.34,$-0.54,0.0
2024-06-30,8.98,$0.79,11.37
2024-03-31,13.19,$1.19,11.08
2023-12-31,12.96,$1.86,6.97
2023-09-30,12.95,$0.91,14.23
2023-06-30,7.77,$-0.04,0.0
2023-03-31,7.05,$-0.79,0.0
2022-12-31,4.22,$-1.25,0.0
2022-09-30,4.41,$-1.76,0.0
2022-06-30,4.74,$-1.53,0.0
2022-03-31,5.75,$-1.08,0.0
2021-12-31,6.69,$-1.50,0.0
2021-09-30,9.55,$-1.06,0.0
2021-06-30,8.09,$-0.96,0.0
2021-03-31,9.12,$-1.07,0.0
2020-12-31,8.56,$-1.41,0.0
2020-09-30,6.18,$-1.43,0.0
2020-06-30,7.52,$-0.51,0.0
2020-03-31,6.4,$-0.61,0.0
2019-12-31,16.77,$0.31,54.1
2019-09-30,15.37,$-0.03,0.0
2019-06-30,15.11,$-0.68,0.0
2019-03-31,12.94,$-0.77,0.0
2018-12-31,10.31,$-1.18,0.0
2018-09-30,13.7,$-1.46,0.0
2018-06-30,14.06,$-2.90,0.0
2018-03-31,9.87,$-3.63,0.0
2017-12-31,12.97,$-4.15,0.0
2017-09-30,17.82,$-4.32,0.0
2017-06-30,13.83,$-3.80,0.0
2017-03-31,16.23,$-3.60,0.0
2016-12-31,20.36,$-3.56,0.0
2016-09-30,19.48,$-3.52,0.0
2016-06-30,16.37,$-3.61,0.0
2016-03-31,12.34,$-3.38,0.0
2015-12-31,14.07,$-2.94,0.0
2015-09-30,13.81,$-2.50,0.0
2015-06-30,23.05,$-1.61,0.0
2015-03-31,16.51,$-0.66,0.0
2014-12-31,26.5,$0.56,47.32
2014-09-30,35.15,$2.82,12.46
2014-06-30,55.08,$4.01,13.74
2014-03-31,66.17,$5.03,13.16
2013-12-31,94.64,$5.51,17.18
2013-09-30,84.29,$5.36,15.72
2013-06-30,69.08,$4.64,14.89
2013-03-31,107.92,$4.17,25.91
2012-12-31,88.87,$3.76,23.67
2012-09-30,61.21,$2.73,22.42
2012-06-30,45.0,$2.68,16.79
2012-03-31,52.67,$2.57,20.53
2011-12-31,38.67,$2.37,16.35
2011-09-30,28.15,$2.34,12.03
2011-06-30,50.0,$2.47,20.24
2011-03-31,49.29,$2.16,22.87
2010-12-31,49.56,$1.69,29.32
2010-09-30,28.94,$1.13,25.61
2010-06-30,24.24,$0.57,42.53
2010-03-31,23.91,$0.25,95.62
2009-12-31,21.45,$0.13,171.56
