Greenlight Capital Re PE Ratio Historical Data,Greenlight Capital Re PE Ratio Historical Data,Greenlight Capital Re PE Ratio Historical Data,Greenlight Capital Re PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.42,,6.64
2024-12-31,14.0,$2.02,6.93
2024-09-30,13.65,$2.52,5.42
2024-06-30,13.1,$1.90,6.89
2024-03-31,12.47,$2.99,4.17
2023-12-31,11.42,$2.38,4.8
2023-09-30,10.74,$2.79,3.85
2023-06-30,10.54,$1.84,5.73
2023-03-31,9.39,$0.89,10.55
2022-12-31,8.15,$0.55,14.82
2022-09-30,7.44,$0.35,21.26
2022-06-30,7.73,$0.49,15.78
2022-03-31,7.07,$0.14,50.5
2021-12-31,7.84,$0.50,15.68
2021-09-30,7.39,$0.99,7.46
2021-06-30,9.13,$1.47,6.21
2021-03-31,8.7,$1.45,6.0
2020-12-31,7.31,$0.15,48.73
2020-09-30,6.73,$-1.88,0.0
2020-06-30,6.52,$-1.80,0.0
2020-03-31,5.95,$-1.38,0.0
2019-12-31,10.11,$-0.11,0.0
2019-09-30,10.5,$-1.53,0.0
2019-06-30,8.49,$-4.15,0.0
2019-03-31,10.87,$-5.58,0.0
2018-12-31,8.62,$-9.59,0.0
2018-09-30,12.4,$-8.36,0.0
2018-06-30,14.2,$-5.35,0.0
2018-03-31,16.05,$-5.30,0.0
2017-12-31,20.1,$-1.23,0.0
2017-09-30,21.65,$1.10,19.68
2017-06-30,20.9,$1.37,15.26
2017-03-31,22.1,$0.64,34.53
2016-12-31,22.8,$1.19,19.16
2016-09-30,20.44,$-1.29,0.0
2016-06-30,20.16,$-8.07,0.0
2016-03-31,21.79,$-7.44,0.0
2015-12-31,18.71,$-8.86,0.0
2015-09-30,22.28,$-6.09,0.0
2015-06-30,29.17,$-1.51,0.0
2015-03-31,31.8,$2.44,13.03
2014-12-31,32.65,$2.85,11.46
2014-09-30,32.41,$3.48,9.31
2014-06-30,32.94,$6.38,5.16
2014-03-31,32.8,$4.25,7.72
2013-12-31,33.71,$6.01,5.61
2013-09-30,28.44,$2.16,13.17
2013-06-30,24.53,$1.89,12.98
2013-03-31,24.45,$0.15,163.0
2012-12-31,23.08,$0.38,60.74
2012-09-30,24.75,$3.89,6.36
2012-06-30,25.42,$2.54,10.01
2012-03-31,24.63,$3.08,8.0
2011-12-31,23.67,$0.14,169.07
2011-09-30,20.74,$-0.24,0.0
2011-06-30,26.29,$0.66,39.83
2011-03-31,28.21,$1.57,17.97
2010-12-31,26.81,$2.42,11.08
2010-09-30,25.02,$2.46,10.17
2010-06-30,25.19,$2.56,9.84
2010-03-31,26.68,$4.60,5.8
2009-12-31,23.59,$5.71,4.13
