GreenPower Motor PE Ratio Historical Data,GreenPower Motor PE Ratio Historical Data,GreenPower Motor PE Ratio Historical Data,GreenPower Motor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.59,,0.0
2024-12-31,0.77,$-0.83,0.0
2024-09-30,1.37,$-0.85,0.0
2024-06-30,1.04,$-0.84,0.0
2024-03-31,1.97,$-0.74,0.0
2023-12-31,3.13,$-0.63,0.0
2023-09-30,3.15,$-0.58,0.0
2023-06-30,2.62,$-0.56,0.0
2023-03-31,2.31,$-0.64,0.0
2022-12-31,1.73,$-0.80,0.0
2022-09-30,2.33,$-0.79,0.0
2022-06-30,3.3,$-0.76,0.0
2022-03-31,6.85,$-0.68,0.0
2021-12-31,9.48,$-0.49,0.0
2021-09-30,14.88,$-0.47,0.0
2021-06-30,19.63,$-0.44,0.0
