GrowGeneration PE Ratio Historical Data,GrowGeneration PE Ratio Historical Data,GrowGeneration PE Ratio Historical Data,GrowGeneration PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.23,,0.0
2024-12-31,1.69,$-0.43,0.0
2024-09-30,2.13,$-0.87,0.0
2024-06-30,2.15,$-0.80,0.0
2024-03-31,2.86,$-0.79,0.0
2023-12-31,2.51,$-0.75,0.0
2023-09-30,2.92,$-0.56,0.0
2023-06-30,3.4,$-0.56,0.0
2023-03-31,3.42,$-2.71,0.0
2022-12-31,3.92,$-2.70,0.0
2022-09-30,3.5,$-2.52,0.0
2022-06-30,3.59,$-2.33,0.0
2022-03-31,9.21,$0.02,460.5
2021-12-31,13.05,$0.21,62.14
2021-09-30,24.67,$0.31,79.58
2021-06-30,48.1,$0.30,160.33
2021-03-31,49.69,$0.25,198.76
2020-12-31,40.22,$0.09,446.89
2020-09-30,15.98,$0.05,319.6
