Highwoods Properties PE Ratio Historical Data,Highwoods Properties PE Ratio Historical Data,Highwoods Properties PE Ratio Historical Data,Highwoods Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.9,,30.42
2024-12-31,30.58,$0.95,32.19
2024-09-30,32.98,$1.34,24.62
2024-06-30,25.45,$1.41,18.05
2024-03-31,24.89,$1.22,20.4
2023-12-31,21.38,$1.39,15.38
2023-09-30,18.69,$1.29,14.49
2023-06-30,21.21,$1.44,14.73
2023-03-31,20.08,$1.51,13.3
2022-12-31,23.81,$1.47,16.2
2022-09-30,22.54,$2.40,9.39
2022-06-30,28.17,$2.73,10.32
2022-03-31,37.2,$2.83,13.15
2021-12-31,35.85,$2.97,12.07
2021-09-30,34.89,$2.57,13.58
2021-06-30,35.55,$2.27,15.66
2021-03-31,33.42,$2.06,16.23
2020-12-31,30.48,$3.33,9.15
2020-09-30,25.48,$3.12,8.17
2020-06-30,27.98,$3.00,9.33
2020-03-31,26.15,$3.02,8.66
2019-12-31,35.79,$1.30,27.53
2019-09-30,32.55,$1.23,26.46
2019-06-30,29.59,$1.28,23.12
2019-03-31,33.16,$1.39,23.86
2018-12-31,27.15,$1.63,16.66
2018-09-30,32.82,$1.67,19.65
2018-06-30,34.9,$1.90,18.37
2018-03-31,29.84,$1.77,16.86
2017-12-31,34.3,$1.77,19.38
2017-09-30,34.8,$1.47,23.67
2017-06-30,33.59,$1.24,27.08
2017-03-31,32.25,$1.20,26.88
2016-12-31,33.2,$5.38,6.17
2016-09-30,33.09,$5.34,6.2
2016-06-30,33.26,$5.33,6.24
2016-03-31,29.85,$5.28,5.65
2015-12-31,26.94,$1.00,26.94
2015-09-30,23.71,$1.03,23.01
2015-06-30,24.19,$1.29,18.75
2015-03-31,27.45,$1.27,21.61
2014-12-31,26.31,$1.19,22.11
2014-09-30,22.88,$1.28,17.88
2014-06-30,24.43,$1.32,18.51
2014-03-31,22.14,$1.40,15.81
2013-12-31,20.61,$1.42,14.51
2013-09-30,19.89,$1.27,15.66
2013-06-30,19.81,$1.09,18.18
2013-03-31,21.78,$0.93,23.42
2012-12-31,17.98,$1.01,17.81
2012-09-30,17.31,$0.99,17.49
2012-06-30,17.63,$0.66,26.71
2012-03-31,17.23,$0.63,27.36
2011-12-31,15.15,$0.54,28.05
2011-09-30,14.22,$0.51,27.88
2011-06-30,16.44,$0.51,32.23
2011-03-31,17.16,$0.87,19.73
2010-12-31,15.42,$0.87,17.72
2010-09-30,15.52,$0.70,22.16
2010-06-30,13.08,$0.74,17.68
2010-03-31,14.75,$0.74,19.93
2009-12-31,15.26,$0.77,19.82
