Hennessy Advisors PE Ratio Historical Data,Hennessy Advisors PE Ratio Historical Data,Hennessy Advisors PE Ratio Historical Data,Hennessy Advisors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.36,,9.25
2024-12-31,12.75,$1.12,11.38
2024-09-30,9.82,$0.92,10.67
2024-06-30,6.93,$0.79,8.77
2024-03-31,6.59,$0.68,9.69
2023-12-31,6.28,$0.63,9.97
2023-09-30,6.1,$0.62,9.84
2023-06-30,6.34,$0.64,9.91
2023-03-31,6.83,$0.66,10.35
2022-12-31,7.29,$0.72,10.12
2022-09-30,7.41,$0.82,9.03
2022-06-30,8.8,$0.89,9.89
2022-03-31,8.42,$1.02,8.25
2021-12-31,8.75,$1.07,8.18
2021-09-30,7.8,$1.06,7.35
2021-06-30,7.47,$1.00,7.47
2021-03-31,6.78,$0.94,7.21
2020-12-31,6.6,$0.95,6.95
2020-09-30,6.34,$1.06,5.98
2020-06-30,5.94,$1.18,5.04
2020-03-31,5.62,$1.28,4.39
2019-12-31,7.37,$1.38,5.34
2019-09-30,7.81,$1.42,5.5
2019-06-30,6.91,$1.56,4.43
2019-03-31,6.51,$1.75,3.72
2018-12-31,6.98,$1.96,3.56
2018-09-30,9.57,$2.61,3.67
2018-06-30,11.91,$2.57,4.63
2018-03-31,13.18,$2.55,5.17
2017-12-31,11.23,$2.44,4.6
2017-09-30,10.43,$1.89,5.51
2017-06-30,10.21,$1.93,5.3
2017-03-31,11.25,$1.92,5.85
2016-12-31,14.11,$1.88,7.51
2016-09-30,15.71,$1.86,8.45
2016-06-30,14.79,$1.79,8.28
2016-03-31,11.77,$1.65,7.12
2015-12-31,13.17,$1.52,8.67
2015-09-30,10.43,$1.28,8.15
2015-06-30,8.25,$1.17,7.03
2015-03-31,8.83,$1.03,8.55
2014-12-31,9.55,$0.94,10.16
2014-09-30,8.63,$0.87,9.88
2014-06-30,6.44,$0.78,8.26
2014-03-31,5.07,$0.71,7.18
2013-12-31,5.07,$0.64,7.92
2013-09-30,4.05,$0.56,7.22
2013-06-30,3.15,$0.41,7.63
2013-03-31,3.29,$0.29,11.47
2012-12-31,1.86,$0.18,10.33
2012-09-30,1.19,$0.11,10.53
2012-06-30,1.22,$0.11,11.42
2012-03-31,1.13,$0.11,9.93
2011-12-31,1.11,$0.13,8.79
2011-09-30,1.2,$0.14,8.61
2011-06-30,1.23,$0.14,8.82
2011-03-31,1.25,$0.13,9.4
2010-12-31,1.18,$0.12,9.87
2010-09-30,0.89,$0.11,7.84
2010-06-30,1.04,$0.09,12.01
2010-03-31,0.95,$0.05,17.72
2009-12-31,1.08,$0.01,80.73
