Hexcel PE Ratio Historical Data,Hexcel PE Ratio Historical Data,Hexcel PE Ratio Historical Data,Hexcel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,56.82,,35.74
2024-12-31,62.7,$1.59,39.43
2024-09-30,61.67,$1.31,47.08
2024-06-30,62.14,$1.27,48.93
2024-03-31,72.33,$1.17,61.82
2023-12-31,73.07,$1.24,58.93
2023-09-30,64.41,$1.88,34.26
2023-06-30,75.04,$1.74,43.12
2023-03-31,67.25,$1.77,37.99
2022-12-31,57.88,$1.48,39.11
2022-09-30,50.78,$1.27,39.98
2022-06-30,51.27,$1.07,47.92
2022-03-31,58.19,$0.57,102.09
2021-12-31,50.59,$0.19,266.28
2021-09-30,58.01,$-0.26,0.0
2021-06-30,60.95,$-0.25,0.0
2021-03-31,54.7,$-0.29,0.0
2020-12-31,47.36,$0.38,124.63
2020-09-30,32.77,$1.47,22.29
2020-06-30,44.17,$2.28,19.37
2020-03-31,36.32,$3.23,11.25
2019-12-31,71.44,$3.57,20.01
2019-09-30,79.85,$3.47,23.01
2019-06-30,78.47,$3.45,22.75
2019-03-31,66.96,$3.27,20.48
2018-12-31,55.4,$3.11,17.81
2018-09-30,64.61,$3.31,19.52
2018-06-30,63.83,$3.16,20.2
2018-03-31,61.99,$3.07,20.19
2017-12-31,59.24,$3.09,19.17
2017-09-30,54.89,$2.77,19.82
2017-06-30,50.34,$2.73,18.44
2017-03-31,51.91,$2.76,18.81
2016-12-31,48.84,$2.65,18.43
2016-09-30,41.96,$2.57,16.33
2016-06-30,39.34,$2.40,16.39
2016-03-31,41.2,$2.33,17.68
2015-12-31,43.67,$2.44,17.9
2015-09-30,42.09,$2.42,17.39
2015-06-30,46.58,$2.44,19.09
2015-03-31,48.05,$2.32,20.71
2014-12-31,38.69,$2.12,18.25
2014-09-30,37.02,$2.04,18.15
2014-06-30,38.14,$1.95,19.56
2014-03-31,40.6,$1.92,21.15
2013-12-31,41.67,$1.85,22.52
2013-09-30,36.18,$1.75,20.67
2013-06-30,31.75,$1.66,19.13
2013-03-31,27.05,$1.65,16.39
2012-12-31,25.14,$1.61,15.61
2012-09-30,22.4,$1.64,13.66
2012-06-30,24.05,$1.57,15.32
2012-03-31,22.39,$1.47,15.23
2011-12-31,22.57,$1.34,16.85
2011-09-30,20.66,$1.18,17.51
2011-06-30,20.41,$1.02,20.01
2011-03-31,18.36,$0.88,20.86
2010-12-31,16.87,$0.78,21.63
2010-09-30,16.59,$0.61,27.19
2010-06-30,14.46,$0.56,25.83
2010-03-31,13.46,$0.50,26.93
2009-12-31,12.1,$0.58,20.87
