"INTERNATIONAL MONEY EXPRESS, INC PE Ratio Historical Data","INTERNATIONAL MONEY EXPRESS, INC PE Ratio Historical Data","INTERNATIONAL MONEY EXPRESS, INC PE Ratio Historical Data","INTERNATIONAL MONEY EXPRESS, INC PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.58,,7.59
2024-12-31,20.83,$1.79,11.64
2024-09-30,18.49,$1.79,10.33
2024-06-30,20.84,$1.67,12.48
2024-03-31,22.83,$1.67,13.67
2023-12-31,22.09,$1.63,13.55
2023-09-30,16.93,$1.49,11.36
2023-06-30,24.53,$1.51,16.25
2023-03-31,25.78,$1.50,17.19
2022-12-31,24.37,$1.49,16.36
2022-09-30,22.79,$1.47,15.5
2022-06-30,20.47,$1.33,15.39
2022-03-31,20.61,$1.26,16.36
2021-12-31,15.96,$1.19,13.41
2021-09-30,16.7,$1.11,15.05
2021-06-30,14.85,$1.07,13.88
2021-03-31,15.01,$0.97,15.47
2020-12-31,15.52,$0.89,17.44
2020-09-30,14.37,$0.78,18.42
2020-06-30,12.46,$0.64,19.47
2020-03-31,9.13,$0.59,15.47
2019-12-31,12.04,$0.53,22.72
2019-09-30,13.74,$0.52,26.42
2019-06-30,14.1,$-0.02,0.0
2019-03-31,11.66,$-0.21,0.0
2018-12-31,11.96,$-0.30,0.0
2018-09-30,12.02,$-0.43,0.0
2018-06-30,10.0,0,0.0
2018-03-31,9.94,0,0.0
2017-12-31,9.92,0,0.0
