Invitation Home PE Ratio Historical Data,Invitation Home PE Ratio Historical Data,Invitation Home PE Ratio Historical Data,Invitation Home PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.04,,46.63
2024-12-31,31.97,$0.73,43.79
2024-09-30,35.26,$0.71,49.66
2024-06-30,35.61,$0.77,46.24
2024-03-31,35.05,$0.87,40.29
2023-12-31,33.31,$0.84,39.65
2023-09-30,30.44,$0.79,38.54
2023-06-30,32.8,$0.71,46.2
2023-03-31,29.55,$0.67,44.11
2022-12-31,27.83,$0.62,44.89
2022-09-30,31.48,$0.58,54.27
2022-06-30,32.97,$0.57,57.84
2022-03-31,37.01,$0.50,74.01
2021-12-31,41.54,$0.45,92.31
2021-09-30,34.97,$0.45,77.71
2021-06-30,33.88,$0.39,86.86
2021-03-31,28.92,$0.36,80.34
2020-12-31,26.7,$0.35,76.29
2020-09-30,25.03,$0.33,75.85
2020-06-30,24.49,$0.33,74.22
2020-03-31,18.9,$0.32,59.05
2019-12-31,26.37,$0.27,97.68
2019-09-30,25.94,$0.22,117.92
2019-06-30,23.31,$0.16,145.68
2019-03-31,21.11,$0.06,351.75
2018-12-31,17.32,$-0.01,0.0
2018-09-30,19.66,$-0.17,0.0
2018-06-30,19.69,$-0.24,0.0
2018-03-31,19.41,$-0.19,0.0
2017-12-31,19.93,$-0.30,0.0
