Inspirato PE Ratio Historical Data,Inspirato PE Ratio Historical Data,Inspirato PE Ratio Historical Data,Inspirato PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.04,,0.0
2024-09-30,4.05,$-4.40,0.0
2024-06-30,3.5,$-9.89,0.0
2024-03-31,3.95,$-14.56,0.0
2023-12-31,3.68,$-15.18,0.0
2023-09-30,0.59,$-14.87,0.0
2023-06-30,0.98,$-11.20,0.0
2023-03-31,0.96,$-4.40,0.0
2022-12-31,1.19,$-8.80,0.0
2022-09-30,2.36,$-154.40,0.0
2022-06-30,4.63,$-153.20,0.0
2022-03-31,9.94,$-153.00,0.0
2021-12-31,10.1,$-147.80,0.0
