Johnson & Johnson PE Ratio Historical Data,Johnson & Johnson PE Ratio Historical Data,Johnson & Johnson PE Ratio Historical Data,Johnson & Johnson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,163.02,,24.51
2024-12-31,144.62,$6.65,21.75
2024-09-30,160.77,$6.91,23.27
2024-06-30,143.9,$16.01,8.99
2024-03-31,154.48,$16.04,9.63
2023-12-31,151.91,$13.81,11.0
2023-09-30,149.76,$13.47,11.12
2023-06-30,158.02,$4.94,31.99
2023-03-31,146.87,$4.78,30.73
2022-12-31,166.21,$6.74,24.66
2022-09-30,152.72,$7.18,21.27
2022-06-30,164.84,$6.87,23.99
2022-03-31,163.55,$7.42,22.04
2021-12-31,156.85,$7.81,20.08
2021-09-30,147.1,$6.69,21.99
2021-06-30,149.16,$6.65,22.43
2021-03-31,147.89,$5.66,26.13
2020-12-31,140.74,$5.51,25.54
2020-09-30,132.21,$6.36,20.79
2020-06-30,124.06,$6.84,18.14
2020-03-31,114.87,$7.56,15.19
2019-12-31,126.96,$6.78,18.73
2019-09-30,111.83,$6.40,17.47
2019-06-30,120.39,$6.03,19.97
2019-03-31,120.01,$5.40,22.22
2018-12-31,110.06,$5.61,19.62
2018-09-30,117.09,$0.50,234.19
2018-06-30,102.15,$0.43,237.56
2018-03-31,107.09,$0.38,281.82
2017-12-31,116.02,$0.39,297.49
2017-09-30,107.31,$5.76,18.63
2017-06-30,108.49,$5.92,18.33
2017-03-31,101.48,$5.95,17.06
2016-12-31,93.26,$5.88,15.86
2016-09-30,94.97,$5.65,16.81
2016-06-30,96.87,$5.32,18.21
2016-03-31,85.8,$5.50,15.6
2015-12-31,80.87,$5.49,14.73
2015-09-30,72.96,$5.23,13.95
2015-06-30,75.58,$5.69,13.28
2015-03-31,77.45,$5.59,13.85
2014-12-31,79.94,$5.70,14.03
2014-09-30,80.96,$6.04,13.4
2014-06-30,78.93,$5.42,14.56
2014-03-31,73.6,$5.24,14.05
2013-12-31,68.13,$4.82,14.14
2013-09-30,64.04,$4.50,14.23
2013-06-30,62.96,$4.51,13.96
2013-03-31,59.34,$3.68,16.12
2012-12-31,50.61,$3.87,13.08
2012-09-30,49.32,$3.04,16.22
2012-06-30,47.92,$3.14,15.26
2012-03-31,46.34,$3.64,12.73
2011-12-31,45.67,$3.48,13.12
2011-09-30,43.94,$4.10,10.72
2011-06-30,45.49,$4.18,10.88
2011-03-31,40.17,$4.41,9.11
2010-12-31,41.56,$4.78,8.69
2010-09-30,41.27,$4.87,8.48
2010-06-30,38.98,$4.84,8.05
2010-03-31,42.64,$4.76,8.96
2009-12-31,41.8,$4.40,9.5
