Knight-Swift Transportation Holdings PE Ratio Historical Data,Knight-Swift Transportation Holdings PE Ratio Historical Data,Knight-Swift Transportation Holdings PE Ratio Historical Data,Knight-Swift Transportation Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.53,,61.0
2024-12-31,53.04,$0.73,72.66
2024-09-30,53.79,$0.23,233.89
2024-06-30,49.62,$0.41,121.02
2024-03-31,54.51,$0.67,81.36
2023-12-31,56.96,$1.33,42.82
2023-09-30,49.42,$2.32,21.3
2023-06-30,54.61,$3.16,17.28
2023-03-31,55.48,$4.12,13.47
2022-12-31,51.26,$4.73,10.84
2022-09-30,47.76,$5.33,8.96
2022-06-30,45.08,$5.35,8.43
2022-03-31,49.01,$4.92,9.96
2021-12-31,59.06,$4.44,13.3
2021-09-30,49.49,$3.76,13.16
2021-06-30,43.9,$3.24,13.55
2021-03-31,46.34,$2.79,16.61
2020-12-31,40.23,$2.40,16.76
2020-09-30,39.07,$1.95,20.04
2020-06-30,39.97,$1.68,23.79
2020-03-31,31.37,$1.67,18.78
2019-12-31,34.2,$1.80,19.0
2019-09-30,34.58,$2.27,15.23
2019-06-30,31.23,$2.43,12.85
2019-03-31,31.01,$2.48,12.5
2018-12-31,23.74,$2.36,10.06
2018-09-30,32.6,$4.00,8.15
2018-06-30,36.06,$3.44,10.48
2018-03-31,43.36,$3.21,13.52
2017-12-31,41.15,$2.87,14.32
2017-09-30,39.05,$0.90,43.34
2017-06-30,34.82,$1.25,27.86
2017-03-31,29.47,$1.42,20.8
2016-12-31,31.06,$1.68,18.49
2016-09-30,26.97,$1.86,14.49
2016-06-30,24.98,$1.82,13.73
2016-03-31,24.58,$1.86,13.21
2015-12-31,22.77,$1.90,11.97
2015-09-30,22.56,$1.76,12.79
2015-06-30,25.13,$1.90,13.21
2015-03-31,30.31,$1.81,16.79
2014-12-31,31.64,$1.57,20.16
2014-09-30,25.74,$1.44,17.82
2014-06-30,22.34,$1.25,17.87
2014-03-31,21.74,$1.28,17.01
2013-12-31,17.24,$1.39,12.41
2013-09-30,15.48,$1.42,10.92
2013-06-30,15.7,$1.40,11.19
2013-03-31,14.97,$1.32,11.35
2012-12-31,13.55,$1.14,11.9
2012-09-30,12.76,$1.03,12.41
2012-06-30,14.2,$1.06,13.46
2012-03-31,15.63,$0.92,17.05
2011-12-31,13.79,$0.89,15.52
2011-09-30,11.69,$-0.39,0.0
2011-06-30,14.87,$-0.71,0.0
2011-03-31,16.78,$-1.33,0.0
2010-12-31,16.51,$-2.35,0.0
2010-09-30,16.12,$-2.29,0.0
2010-06-30,16.82,$-2.28,0.0
2010-03-31,17.48,$-1.85,0.0
2009-12-31,15.94,$-0.86,0.0
