Legacy Housing PE Ratio Historical Data,Legacy Housing PE Ratio Historical Data,Legacy Housing PE Ratio Historical Data,Legacy Housing PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.11,,13.81
2024-12-31,24.68,$1.89,13.06
2024-09-30,27.35,$2.17,12.6
2024-06-30,22.94,$2.17,10.57
2024-03-31,21.52,$2.12,10.15
2023-12-31,25.22,$2.17,11.62
2023-09-30,19.41,$2.71,7.16
2023-06-30,23.19,$2.65,8.75
2023-03-31,22.76,$2.74,8.31
2022-12-31,18.96,$2.74,6.92
2022-09-30,17.15,$2.48,6.92
2022-06-30,13.05,$2.51,5.2
2022-03-31,21.46,$2.33,9.21
2021-12-31,26.47,$2.05,12.91
2021-09-30,17.97,$1.93,9.31
2021-06-30,16.91,$1.67,10.13
2021-03-31,17.73,$1.52,11.66
2020-12-31,15.11,$1.52,9.94
2020-09-30,13.68,$1.36,10.06
2020-06-30,14.22,$1.26,11.29
2020-03-31,9.25,$1.25,7.4
2019-12-31,16.64,$1.17,14.22
2019-09-30,16.2,$0.89,18.2
