Luxfer Holdings PE Ratio Historical Data,Luxfer Holdings PE Ratio Historical Data,Luxfer Holdings PE Ratio Historical Data,Luxfer Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.89,,17.49
2024-12-31,13.09,$0.68,19.25
2024-09-30,12.82,$0.33,38.85
2024-06-30,11.35,$-0.19,0.0
2024-03-31,10.02,$0.00,0.0
2023-12-31,8.5,$-0.08,0.0
2023-09-30,12.25,$0.21,58.33
2023-06-30,13.23,$0.55,24.05
2023-03-31,15.58,$0.72,21.64
2022-12-31,12.54,$0.98,12.8
2022-09-30,13.14,$0.90,14.6
2022-06-30,13.58,$0.78,17.41
2022-03-31,14.97,$0.83,18.04
2021-12-31,17.1,$1.07,15.98
2021-09-30,17.28,$1.33,12.99
2021-06-30,19.47,$1.25,15.58
2021-03-31,18.51,$1.01,18.33
2020-12-31,14.18,$0.71,19.98
2020-09-30,10.74,$0.37,29.02
2020-06-30,12.0,$0.49,24.48
2020-03-31,11.88,$0.47,25.27
2019-12-31,15.44,$0.11,140.34
2019-09-30,12.9,$-0.11,0.0
2019-06-30,20.18,$0.13,155.2
2019-03-31,20.45,$0.37,55.27
2018-12-31,14.34,$0.84,17.07
2018-09-30,18.81,$1.07,17.58
2018-06-30,14.04,$0.80,17.56
2018-03-31,10.19,$0.52,19.59
2017-12-31,12.47,$0.44,28.35
2017-09-30,9.83,$0.64,15.36
2017-06-30,10.1,$0.58,17.41
2017-03-31,9.6,$0.74,12.97
2016-12-31,8.6,$0.82,10.48
2016-09-30,9.15,$0.97,9.43
2016-06-30,9.5,$1.08,8.79
2016-03-31,8.38,$0.94,8.91
2015-12-31,7.77,$0.59,13.17
2015-09-30,8.52,$0.75,11.36
2015-06-30,10.26,$0.68,15.09
2015-03-31,10.56,$0.77,13.71
2014-12-31,11.79,$1.05,11.23
2014-09-30,13.63,$0.93,14.65
2014-06-30,14.96,$1.07,13.98
2014-03-31,15.46,$1.18,13.1
2013-12-31,16.47,$1.22,13.5
2013-09-30,12.55,$1.27,9.88
