Lsb Industries PE Ratio Historical Data,Lsb Industries PE Ratio Historical Data,Lsb Industries PE Ratio Historical Data,Lsb Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.23,,0.0
2024-12-31,7.59,$-0.27,0.0
2024-09-30,8.04,$-0.21,0.0
2024-06-30,8.18,$0.04,204.5
2024-03-31,8.78,$0.24,36.58
2023-12-31,9.31,$0.37,25.16
2023-09-30,10.23,$1.27,8.06
2023-06-30,9.85,$1.40,7.04
2023-03-31,10.33,$2.22,4.65
2022-12-31,13.3,$2.66,5.0
2022-09-30,14.25,$2.30,6.2
2022-06-30,13.86,$-4.12,0.0
2022-03-31,21.84,$-4.95,0.0
2021-12-31,11.05,$-6.23,0.0
2021-09-30,7.85,$-7.56,0.0
2021-06-30,4.65,$-1.98,0.0
2021-03-31,3.95,$-2.57,0.0
2020-12-31,2.61,$-2.72,0.0
2020-09-30,1.25,$-2.85,0.0
2020-06-30,0.89,$-3.11,0.0
2020-03-31,1.62,$-2.88,0.0
2019-12-31,3.23,$-2.64,0.0
2019-09-30,3.98,$-2.22,0.0
2019-06-30,3.0,$-2.08,0.0
2019-03-31,4.8,$-3.02,0.0
2018-12-31,4.25,$-2.87,0.0
2018-09-30,7.52,$-2.49,0.0
2018-06-30,4.08,$-2.25,0.0
2018-03-31,4.72,$-1.68,0.0
2017-12-31,6.74,$-1.68,0.0
2017-09-30,6.11,$-2.29,0.0
2017-06-30,7.95,$1.59,4.99
2017-03-31,7.22,$2.15,3.35
2016-12-31,6.48,$1.69,3.83
2016-09-30,6.6,$2.14,3.09
2016-06-30,9.29,$-2.18,0.0
2016-03-31,9.81,$-2.32,0.0
2015-12-31,5.58,$-1.28,0.0
2015-09-30,11.78,$-0.88,0.0
2015-06-30,31.42,$0.12,255.2
2015-03-31,31.79,$0.47,67.76
2014-12-31,24.18,$0.63,38.35
2014-09-30,27.47,$1.82,15.07
2014-06-30,32.05,$2.28,14.03
2014-03-31,28.78,$2.16,13.32
2013-12-31,31.55,$1.77,17.83
2013-09-30,25.79,$0.93,27.71
2013-06-30,23.39,$0.82,28.69
2013-03-31,26.75,$1.43,18.7
2012-12-31,27.25,$1.92,14.22
2012-09-30,33.75,$2.45,13.75
2012-06-30,23.78,$2.45,9.72
2012-03-31,29.94,$2.53,11.83
2011-12-31,21.56,$2.75,7.83
2011-09-30,22.05,$2.45,9.02
2011-06-30,33.02,$2.37,13.93
2011-03-31,30.49,$1.64,18.61
2010-12-31,18.66,$1.00,18.66
2010-09-30,14.28,$0.39,36.41
2010-06-30,10.24,$0.30,34.13
2010-03-31,11.72,$0.38,30.48
2009-12-31,10.85,$0.72,15.0
