LSI Industries PE Ratio Historical Data,LSI Industries PE Ratio Historical Data,LSI Industries PE Ratio Historical Data,LSI Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.55,,22.79
2024-12-31,19.42,$0.77,25.22
2024-09-30,16.11,$0.79,20.39
2024-06-30,14.39,$0.84,17.13
2024-03-31,14.98,$0.93,16.11
2023-12-31,13.9,$0.91,15.28
2023-09-30,15.62,$0.93,16.79
2023-06-30,12.31,$0.88,13.99
2023-03-31,13.6,$0.78,17.44
2022-12-31,11.91,$0.75,15.88
2022-09-30,7.44,$0.64,11.63
2022-06-30,5.94,$0.53,11.2
2022-03-31,5.73,$0.36,15.93
2021-12-31,6.51,$0.28,23.25
2021-09-30,7.31,$0.25,29.24
2021-06-30,7.51,$0.21,35.76
2021-03-31,7.95,$0.26,30.57
2020-12-31,7.94,$0.28,28.34
2020-09-30,6.21,$0.27,23.02
2020-06-30,5.91,$0.37,15.99
2020-03-31,3.43,$0.34,10.08
2019-12-31,5.45,$0.15,36.3
2019-09-30,4.65,$-0.53,0.0
2019-06-30,3.22,$-0.63,0.0
2019-03-31,2.32,$-0.76,0.0
2018-12-31,2.75,$-0.63,0.0
2018-09-30,3.95,$-0.08,0.0
2018-06-30,4.54,$-0.76,0.0
2018-03-31,6.84,$-0.63,0.0
2017-12-31,5.77,$-0.66,0.0
2017-09-30,5.5,$-0.52,0.0
2017-06-30,7.46,$0.12,62.19
2017-03-31,8.27,$0.15,55.16
2016-12-31,7.95,$0.19,41.82
2016-09-30,9.11,$0.26,35.03
2016-06-30,8.93,$0.38,23.51
2016-03-31,9.44,$0.39,24.22
2015-12-31,9.75,$0.39,25.0
2015-09-30,6.73,$0.30,22.42
2015-06-30,7.42,$0.21,35.33
2015-03-31,6.45,$0.11,58.65
2014-12-31,5.36,$0.05,107.23
2014-09-30,4.79,$0.03,159.53
2014-06-30,6.24,$0.05,124.75
2014-03-31,6.35,$0.11,57.72
2013-12-31,6.67,$0.14,47.67
2013-09-30,6.45,0,0.0
2013-06-30,6.13,$-0.00,0.0
2013-03-31,5.25,$0.03,174.89
2012-12-31,5.27,$0.02,263.47
2012-09-30,4.9,$0.15,32.64
2012-06-30,5.12,$0.12,42.7
2012-03-31,5.22,$0.12,43.54
2011-12-31,4.24,$0.23,18.44
2011-09-30,4.37,$0.32,13.64
2011-06-30,5.52,$0.45,12.28
2011-03-31,5.01,$0.42,11.92
2010-12-31,5.81,$0.23,25.27
2010-09-30,4.39,$0.18,24.37
2010-06-30,3.3,$0.07,47.19
2010-03-31,4.58,$0.03,152.81
2009-12-31,5.21,$0.02,260.4
