Mustang Bio PE Ratio Historical Data,Mustang Bio PE Ratio Historical Data,Mustang Bio PE Ratio Historical Data,Mustang Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.44,,0.0
2024-09-30,0.24,$-78.00,0.0
2024-06-30,0.47,$-137.50,0.0
2024-03-31,1.04,$-220.00,0.0
2023-12-31,1.35,$-300.00,0.0
2023-09-30,2.07,$-399.44,0.0
2023-06-30,6.21,$-472.87,0.0
2023-03-31,5.5,$-515.30,0.0
2022-12-31,5.92,$-562.23,0.0
2022-09-30,7.04,$-592.21,0.0
2022-06-30,8.78,$-599.71,0.0
2022-03-31,15.15,$-577.22,0.0
2021-12-31,24.9,$-569.72,0.0
2021-09-30,40.35,$-644.68,0.0
2021-06-30,49.8,$-674.67,0.0
2021-03-31,49.8,$-794.61,0.0
2020-12-31,56.78,$-862.07,0.0
2020-09-30,47.25,$-937.04,0.0
2020-06-30,47.7,$-952.03,0.0
2020-03-31,40.2,$-929.54,0.0
2019-12-31,61.2,$-974.52,0.0
2019-09-30,48.9,$-989.51,0.0
2019-06-30,55.2,"$-1,012.00",0.0
2019-03-31,51.15,$-937.04,0.0
2018-12-31,44.1,$-862.07,0.0
2018-09-30,89.25,$-989.51,0.0
2018-06-30,103.35,$-982.01,0.0
