McKesson PE Ratio Historical Data,McKesson PE Ratio Historical Data,McKesson PE Ratio Historical Data,McKesson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,666.36,,30.51
2024-12-31,569.91,$21.84,26.09
2024-09-30,493.86,$19.31,25.58
2024-06-30,582.64,$22.36,26.06
2024-03-31,535.56,$22.38,23.93
2023-12-31,461.32,$22.07,20.9
2023-09-30,433.29,$25.31,17.12
2023-06-30,425.14,$26.81,15.86
2023-03-31,353.75,$25.11,14.09
2022-12-31,372.12,$21.87,17.02
2022-09-30,336.68,$14.17,23.76
2022-06-30,322.67,$9.46,34.11
2022-03-31,302.38,$7.21,41.94
2021-12-31,245.1,$8.89,27.57
2021-09-30,196.17,$-30.10,0.0
2021-06-30,187.73,$-28.27,0.0
2021-03-31,190.63,$-28.62,0.0
2020-12-31,169.58,$-26.92,0.0
2020-09-30,144.87,$13.14,11.03
2020-06-30,148.83,$5.61,26.53
2020-03-31,130.88,$5.13,25.51
2019-12-31,133.45,$-4.89,0.0
2019-09-30,131.47,$-3.52,0.0
2019-06-30,128.91,$2.98,43.26
2019-03-31,111.93,$0.06,1865.45
2018-12-31,105.3,$-1.35,0.0
2018-09-30,126.05,$0.58,217.33
2018-06-30,126.38,$-1.92,0.0
2018-03-31,133.14,$0.22,605.17
2017-12-31,147.06,$22.57,6.52
2017-09-30,144.52,$21.09,6.85
2017-06-30,154.44,$22.42,6.89
2017-03-31,138.93,$23.34,5.95
2016-12-31,131.37,$8.45,15.55
2016-09-30,155.66,$8.33,18.69
2016-06-30,173.97,$9.62,18.08
2016-03-31,146.34,$9.69,15.1
2015-12-31,183.23,$8.37,21.89
2015-09-30,171.64,$7.64,22.47
2015-06-30,208.25,$7.00,29.75
2015-03-31,209.32,$6.27,33.38
2014-12-31,191.89,$7.29,26.32
2014-09-30,179.75,$5.57,32.27
2014-06-30,171.73,$5.32,32.28
2014-03-31,162.63,$5.43,29.95
2013-12-31,148.45,$4.95,29.99
2013-09-30,117.84,$5.91,19.94
2013-06-30,104.95,$5.84,17.97
2013-03-31,98.78,$5.59,17.67
2012-12-31,88.55,$6.58,13.46
2012-09-30,78.4,$6.54,11.99
2012-06-30,85.24,$6.05,14.09
2012-03-31,79.62,$5.60,14.22
2011-12-31,70.51,$5.13,13.74
2011-09-30,65.62,$4.53,14.49
2011-06-30,75.32,$4.60,16.37
2011-03-31,71.01,$4.57,15.54
2010-12-31,63.08,$4.21,14.98
2010-09-30,55.21,$4.80,11.5
2010-06-30,59.84,$4.66,12.84
2010-03-31,58.4,$4.62,12.64
2009-12-31,55.43,$4.37,12.68
