Marcus PE Ratio Historical Data,Marcus PE Ratio Historical Data,Marcus PE Ratio Historical Data,Marcus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.66,,0.0
2024-12-31,21.5,$-0.26,0.0
2024-09-30,15.02,$-0.34,0.0
2024-06-30,11.28,$-0.75,0.0
2024-03-31,14.05,$0.24,58.55
2023-12-31,14.3,$0.31,46.12
2023-09-30,15.13,$0.06,252.11
2023-06-30,14.41,$-0.16,0.0
2023-03-31,15.49,$-0.27,0.0
2022-12-31,13.89,$-0.44,0.0
2022-09-30,13.36,$0.04,334.12
2022-06-30,14.17,0,0.0
2022-03-31,16.98,$-1.00,0.0
2021-12-31,17.13,$-1.45,0.0
2021-09-30,16.74,$-2.92,0.0
2021-06-30,20.35,$-4.28,0.0
2021-03-31,19.18,$-4.41,0.0
2020-12-31,12.93,$-4.12,0.0
2020-09-30,7.42,$-2.58,0.0
2020-06-30,12.73,$-0.82,0.0
2020-03-31,11.82,$0.65,18.18
2019-12-31,30.28,$1.35,22.43
2019-09-30,35.1,$1.40,25.07
2019-06-30,31.11,$1.50,20.74
2019-03-31,37.63,$1.57,23.97
2018-12-31,36.98,$1.86,19.88
2018-09-30,39.22,$2.77,14.16
2018-06-30,30.2,$2.60,11.62
2018-03-31,28.07,$2.31,12.15
2017-12-31,25.16,$2.29,10.99
2017-09-30,25.37,$1.39,18.25
2017-06-30,27.52,$1.51,18.22
2017-03-31,29.14,$1.49,19.55
2016-12-31,28.48,$1.36,20.94
2016-09-30,22.55,$1.05,21.48
2016-06-30,18.91,$0.54,35.03
2016-03-31,16.89,$0.73,23.13
2015-12-31,16.8,$0.53,31.7
2015-11-30,17.62,$0.65,27.11
2015-09-30,17.04,$0.65,26.22
2015-08-31,17.1,$0.23,74.36
2015-06-30,16.81,$0.23,73.1
2015-05-31,17.18,$0.11,156.2
2015-03-31,18.57,$0.11,168.81
2015-02-28,17.0,0,0.0
2014-11-30,14.29,0,0.0
2014-08-31,15.71,0,0.0
2014-05-31,14.42,0,0.0
2014-02-28,12.04,0,0.0
2013-11-30,12.38,0,0.0
2013-08-31,10.37,0,0.0
2013-05-31,10.76,0,0.0
2013-02-28,10.22,0,0.0
2012-11-30,9.06,0,0.0
2012-08-31,9.8,0,0.0
2012-05-31,10.05,0,0.0
2012-02-29,9.02,0,0.0
2011-11-30,9.1,0,0.0
2011-08-31,7.21,0,0.0
2011-05-31,7.67,0,0.0
2011-02-28,9.44,0,0.0
2010-11-30,9.32,0,0.0
2010-08-31,7.85,0,0.0
2010-05-31,7.76,0,0.0
2010-02-28,8.6,0,0.0
2009-11-30,8.66,0,0.0
