MEDIFAST INC PE Ratio Historical Data,MEDIFAST INC PE Ratio Historical Data,MEDIFAST INC PE Ratio Historical Data,MEDIFAST INC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.36,,79.78
2024-12-31,17.62,$0.18,97.89
2024-09-30,19.14,$0.66,29.0
2024-06-30,21.82,$2.68,8.14
2024-03-31,38.32,$6.20,6.18
2023-12-31,67.22,$9.11,7.38
2023-09-30,74.85,$10.97,6.82
2023-06-30,90.31,$12.12,7.45
2023-03-31,99.76,$12.77,7.81
2022-12-31,109.18,$12.69,8.6
2022-09-30,101.11,$13.19,7.67
2022-06-30,166.12,$13.48,12.32
2022-03-31,155.81,$14.02,11.11
2021-12-31,189.26,$13.89,13.63
2021-09-30,172.95,$13.34,12.97
2021-06-30,252.41,$12.69,19.89
2021-03-31,187.93,$10.59,17.75
2020-12-31,173.01,$8.69,19.91
2020-09-30,144.08,$7.99,18.03
2020-06-30,120.78,$6.40,18.87
2020-03-31,53.95,$6.29,8.58
2019-12-31,92.95,$6.43,14.46
2019-09-30,87.0,$6.07,14.33
2019-06-30,106.91,$5.89,18.15
2019-03-31,105.66,$5.30,19.94
2018-12-31,102.96,$4.61,22.34
2018-09-30,181.35,$3.91,46.38
2018-06-30,130.81,$3.32,39.4
2018-03-31,76.09,$2.79,27.27
2017-12-31,56.55,$2.29,24.69
2017-09-30,47.77,$2.03,23.53
2017-06-30,33.18,$1.99,16.67
2017-03-31,35.23,$1.65,21.35
2016-12-31,32.81,$1.50,21.87
2016-09-30,29.56,$1.49,19.84
2016-06-30,25.86,$1.44,17.96
2016-03-31,23.28,$1.66,14.03
2015-12-31,23.23,$1.66,13.99
2015-09-30,20.38,$1.05,19.4
2015-06-30,24.52,$0.98,25.02
2015-03-31,22.73,$0.91,24.98
2014-12-31,25.45,$1.00,25.45
2014-09-30,24.9,$1.67,14.91
2014-06-30,23.07,$1.69,13.65
2014-03-31,22.07,$1.76,12.54
2013-12-31,19.82,$1.74,11.39
2013-09-30,20.4,$1.48,13.78
2013-06-30,19.54,$1.59,12.29
2013-03-31,17.39,$1.28,13.58
2012-12-31,20.02,$1.14,17.56
2012-09-30,19.84,$1.09,18.2
2012-06-30,14.93,$0.93,16.05
2012-03-31,13.24,$1.14,11.62
2011-12-31,10.41,$1.29,8.07
2011-09-30,12.25,$1.44,8.51
2011-06-30,18.0,$1.47,12.25
2011-03-31,14.98,$1.44,10.4
2010-12-31,21.91,$1.33,16.47
2010-09-30,20.58,$1.31,15.71
2010-06-30,19.65,$1.15,17.09
2010-03-31,19.06,$0.97,19.65
2009-12-31,23.2,$0.81,28.64
