Middlesex Water PE Ratio Historical Data,Middlesex Water PE Ratio Historical Data,Middlesex Water PE Ratio Historical Data,Middlesex Water PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,59.46,,24.07
2024-12-31,52.63,$2.47,21.31
2024-09-30,64.91,$2.30,28.22
2024-06-30,51.72,$2.06,25.11
2024-03-31,51.66,$2.02,25.58
2023-12-31,64.19,$1.76,36.47
2023-09-30,64.49,$1.84,35.05
2023-06-30,78.21,$2.08,37.6
2023-03-31,75.43,$2.03,37.16
2022-12-31,75.68,$2.38,31.8
2022-09-30,74.01,$2.39,30.97
2022-06-30,83.8,$2.24,37.41
2022-03-31,100.19,$2.36,42.45
2021-12-31,114.26,$2.07,55.2
2021-09-30,97.35,$2.13,45.7
2021-06-30,77.21,$2.20,35.1
2021-03-31,74.4,$2.13,34.93
2020-12-31,68.0,$2.18,31.19
2020-09-30,58.1,$2.17,26.77
2020-06-30,62.56,$2.11,29.65
2020-03-31,55.75,$2.05,27.19
2019-12-31,58.73,$2.00,29.36
2019-09-30,59.76,$1.97,30.33
2019-06-30,54.51,$2.05,26.59
2019-03-31,51.31,$2.08,24.67
2018-12-31,48.68,$1.96,24.83
2018-09-30,43.96,$1.85,23.76
2018-06-30,38.1,$1.57,24.27
2018-03-31,32.98,$1.38,23.9
2017-12-31,35.65,$1.38,25.83
2017-09-30,34.9,$1.25,27.92
2017-06-30,35.0,$1.33,26.31
2017-03-31,32.46,$1.36,23.87
2016-12-31,37.49,$1.38,27.17
2016-09-30,30.59,$1.47,20.81
2016-06-30,37.46,$1.34,27.95
2016-03-31,26.5,$1.29,20.54
2015-12-31,22.64,$1.22,18.55
2015-09-30,20.17,$1.16,17.39
2015-06-30,18.93,$1.17,16.18
2015-03-31,18.93,$1.15,16.46
2014-12-31,19.02,$1.12,16.98
2014-09-30,16.03,$1.09,14.71
2014-06-30,17.16,$1.03,16.66
2014-03-31,17.51,$1.02,17.17
2013-12-31,16.65,$1.03,16.16
2013-09-30,16.85,$1.01,16.69
2013-06-30,15.56,$1.03,15.11
2013-03-31,15.1,$0.98,15.41
2012-12-31,14.99,$0.89,16.84
2012-09-30,14.53,$0.84,17.3
2012-06-30,14.27,$0.78,18.3
2012-03-31,14.05,$0.78,18.01
2011-12-31,13.74,$0.84,16.36
2011-09-30,12.45,$0.88,14.14
2011-06-30,13.41,$0.92,14.58
2011-03-31,13.0,$1.00,13.0
2010-12-31,12.99,$0.94,13.82
2010-09-30,11.8,$0.90,13.11
2010-06-30,10.99,$0.83,13.24
2010-03-31,11.71,$0.73,16.04
2009-12-31,11.97,$0.72,16.62
