Navient PE Ratio Historical Data,Navient PE Ratio Historical Data,Navient PE Ratio Historical Data,Navient PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.54,,11.67
2024-12-31,13.29,$1.16,11.46
2024-09-30,15.43,$0.69,22.36
2024-06-30,14.26,$1.36,10.49
2024-03-31,16.86,$1.56,10.81
2023-12-31,17.87,$1.78,10.04
2023-09-30,16.37,$2.81,5.83
2023-06-30,17.5,$2.91,6.01
2023-03-31,14.91,$3.61,4.13
2022-12-31,15.2,$4.42,3.44
2022-09-30,13.45,$3.57,3.77
2022-06-30,12.67,$3.86,3.28
2022-03-31,15.28,$3.69,4.14
2021-12-31,18.85,$4.02,4.69
2021-09-30,17.39,$5.08,3.42
2021-06-30,16.92,$5.11,3.31
2021-03-31,12.42,$4.70,2.64
2020-12-31,8.42,$2.17,3.88
2020-09-30,7.12,$1.96,3.63
2020-06-30,5.82,$1.52,3.83
2020-03-31,6.16,$1.52,4.05
2019-12-31,10.95,$2.57,4.26
2019-09-30,10.13,$2.07,4.89
2019-06-30,10.66,$1.87,5.7
2019-03-31,8.93,$1.54,5.8
2018-12-31,6.71,$1.49,4.51
2018-09-30,10.12,$0.89,11.37
2018-06-30,9.67,$1.10,8.79
2018-03-31,9.62,$1.18,8.16
2017-12-31,9.65,$1.01,9.56
2017-09-30,10.75,$1.81,5.94
2017-06-30,11.77,$1.90,6.2
2017-03-31,10.32,$1.89,5.46
2016-12-31,11.37,$2.12,5.36
2016-09-30,9.92,$2.43,4.08
2016-06-30,8.1,$2.33,3.48
2016-03-31,8.02,$2.42,3.32
2015-12-31,7.56,$2.61,2.9
2015-09-30,7.33,$2.46,2.98
2015-06-30,11.72,$2.68,4.37
2015-03-31,12.97,$2.92,4.44
